Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,SAC,63,900,118.3,116.1,2.2,62,2.3,19.4,25.8,76.4,50.6,0.1,56.8,60.2,102.69,50.9
C. Capela - D. Murray - J. Collins - T. Young - D. Hunter,ATL,44,738,115.9,110.6,5.3,56.9,2.25,18.4,28.8,74.2,51.1,0.1,54.3,57.5,103.78,53.2
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,41,706,124.3,111.2,13.1,69.8,2.66,23.2,28.3,75.1,52.5,0.1,61.3,63.4,101.2,56.3
D. DeRozan - N. Vucevic - Z. LaVine - P. Williams - A. Dosunmu,CHI,48,591,110.2,109.8,0.4,61.7,1.96,19.7,16.4,79.2,50.1,0.1,57.4,60.5,101.41,51.2
G. Harris - M. Fultz - W. Carter Jr. - F. Wagner - P. Banchero,ORL,36,570,113,111.6,1.4,60.8,1.87,18.8,22.8,76.5,49.6,0.1,56,59.3,100.93,50.2
D. Lillard - J. Grant - J. Nurkic - J. Hart - A. Simons,POR,33,541,115,115.5,-0.5,62,1.65,18.7,23.5,74,49.3,0.2,57.7,61.5,100.46,49.5
J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,NYK,33,526,123.8,117.1,6.7,57.3,2.14,18.2,31.3,79,54.5,0.1,58.4,61.3,97.77,52.4
P. Tucker - J. Harden - T. Harris - J. Embiid - D. Melton,PHI,37,519,120.2,112.4,7.9,68.8,1.99,20.3,21.2,71,48.6,0.1,59.5,65.1,96.44,56.4
K. Porter Jr. - J. Green - K. Martin Jr. - A. Sengun - J. Smith Jr.,HOU,43,440,111.5,120.8,-9.3,54.5,1.75,16.9,31.9,75.5,53.2,0.1,53.6,56.2,100.25,45.4
A. Horford - M. Smart - J. Brown - J. Tatum - D. White,BOS,35,432,124,111.8,12.2,69.8,2.95,22.6,17.4,73.5,47.1,0.1,61.5,64.4,102.34,55.7
E. Gordon - K. Porter Jr. - J. Green - A. Sengun - J. Smith Jr.,HOU,29,426,107.1,118.9,-11.8,50.4,1.27,15,29.3,73.5,50.8,0.2,51.9,55.2,99.56,44.2
M. Turner - B. Hield - A. Nembhard - T. Haliburton - A. Nesmith,IND,32,415,118.7,115.1,3.7,65.4,2.32,21,18.6,67.2,44,0.1,59.8,62.4,99.88,51.2
D. Mitchell - J. Allen - D. Garland - I. Okoro - E. Mobley,CLE,34,398,121.6,114.6,6.9,59.3,2.05,20.3,25.3,76.9,52.1,0.1,61.3,63.9,97.82,52.8
P. Siakam - F. VanVleet - O. Anunoby - G. Trent Jr. - S. Barnes,TOR,28,380,113.7,113.3,0.4,64.3,2.78,19.1,25.5,74.1,47.3,0.1,52.5,55.8,98.88,49.6
P. Tucker - J. Harden - T. Harris - J. Embiid - T. Maxey,PHI,30,366,121,108.5,12.5,63.7,2.32,20,25,79.3,53.8,0.1,58,62.5,95.69,56.8
J. Valanciunas - C. McCollum - B. Ingram - H. Jones - T. Murphy III,NOP,32,358,116.9,117.8,-0.9,62.7,2.16,19.7,28.5,76.9,52.9,0.1,55.9,59.1,99.62,50.3
S. Curry - K. Thompson - D. Green - A. Wiggins - K. Looney,GSW,27,331,128,106.1,21.9,78.3,2.97,25.4,24.7,74.9,52.5,0.1,65,67,103.81,60.5
S. Dinwiddie - D. Finney-Smith - M. Bridges - N. Claxton - C. Johnson,BKN,24,328,111.3,108.2,3.1,64.5,2.37,19.2,23.9,70.4,48.4,0.1,53.4,57,98.41,53.7
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - B. Brown,DEN,37,326,118.4,109.9,8.5,69.7,2.43,21.7,28.6,74.8,52.5,0.1,59.8,62.7,101.6,56.7
J. Poeltl - P. Siakam - F. VanVleet - O. Anunoby - S. Barnes,TOR,17,313,119.1,109.6,9.5,66.4,2.64,21.2,32.4,72.5,50.5,0.1,55.4,58.3,97.38,53.2
M. Conley - K. Olynyk - J. Clarkson - L. Markkanen - J. Vanderbilt,UTA,25,303,112,113,-1,73.8,1.88,20.8,30.7,71.9,50.9,0.2,54.6,57.5,100.89,48.6
K. Lowry - J. Butler - B. Adebayo - C. Martin - T. Herro,MIA,25,302,112.1,108,4.1,62.2,2.03,18.8,25.3,74.6,49.4,0.1,53.8,57.4,97.01,52.5
S. Gilgeous-Alexander - L. Dort - J. Giddey - J. Williams - J. Williams,OKC,24,289,109.4,111.5,-2.1,51.7,1.65,16.1,25.9,70.5,47.5,0.1,52.7,55.6,103.64,47.1
D. DeRozan - P. Beverley - N. Vucevic - Z. LaVine - A. Caruso,CHI,16,267,115.6,100.9,14.7,56.1,2.58,19.1,18.8,78.3,50.3,0.1,56.9,59.8,94.88,57.4
H. Barnes - D. Sabonis - K. Huerter - D. Mitchell - K. Murray,SAC,46,266,123.2,114.7,8.6,68.8,2.9,22.6,18.8,77.9,48.7,0.1,64.9,66.6,99.79,53.1
D. Murray - J. Collins - T. Young - D. Hunter - O. Okongwu,ATL,40,265,111.6,107.7,3.8,49.2,1.55,15.6,22.9,70.6,47.8,0.1,55.7,60.1,105.25,51.5
D. Lillard - J. Grant - J. Hart - A. Simons - D. Eubanks,POR,34,263,116.2,115.7,0.6,60,2.45,18,23.4,74.4,48.2,0.1,55.1,59.6,101.16,50.1
R. Gobert - D. Russell - K. Towns - A. Edwards - J. McDaniels,MIN,17,260,108.2,104.2,4,60.2,1.35,18.3,29.3,72.2,53.3,0.2,55.7,58.4,100.97,53.5
M. Conley - R. Gobert - K. Anderson - A. Edwards - J. McDaniels,MIN,19,253,119.1,110.7,8.3,61.7,2.39,19.8,31.6,71.3,51.7,0.1,57.4,59,98.87,53.7
R. Gobert - K. Anderson - D. Russell - A. Edwards - J. McDaniels,MIN,19,253,114.6,101.7,12.9,59.5,1.73,19.1,19.4,71.9,48.7,0.1,59.6,62.6,100.7,57.1
