Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
K. Durant - K. Irving - R. O'Neale - B. Simmons - N. Claxton,BKN,20,251,115.4,111.2,4.2,64.6,2.39,21.7,21.5,67.3,47.5,0.1,61,62.2,97.2,54.6
B. Bogdanovic - K. Hayes - I. Stewart - J. Ivey - J. Duren,DET,19,249,108,124.2,-16.3,63.7,1.49,18,30.7,72.3,51.2,0.2,51.3,55.6,99.44,42.1
D. Booker - C. Payne - T. Craig - M. Bridges - D. Ayton,PHX,18,241,113.5,114.3,-0.8,62.9,2.21,19.4,28.5,69.2,48,0.1,53.6,56.5,101.02,48.3
B. Lopez - J. Holiday - G. Antetokounmpo - P. Connaughton - G. Allen,MIL,32,232,116.5,110.3,6.2,60.1,2.11,19.1,26.8,82.5,55,0.1,58.4,59.9,105.77,53.3
C. LeVert - D. Mitchell - J. Allen - D. Garland - E. Mobley,CLE,29,231,113.4,98.3,15.1,56.1,1.85,17.3,33,74.4,54.4,0.1,55.1,58.3,98.34,59.6
C. Paul - D. Booker - T. Craig - J. Okogie - D. Ayton,PHX,17,229,119.5,107.1,12.3,63.2,2.78,20.7,26.4,69.9,48.4,0.1,57.1,60.2,99.99,56.6
K. Love - J. Butler - B. Adebayo - G. Vincent - T. Herro,MIA,16,227,111.4,111.1,0.4,60.5,1.82,18.7,22.6,78.2,50.3,0.1,55.2,58.5,98.43,50.7
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - M. Porter Jr.,DEN,34,224,122.1,108.1,13.9,70.7,2.53,22.4,24.5,74.7,51,0.1,60.3,64.1,105.46,57.2
J. Randle - J. Brunson - R. Barrett - Q. Grimes - J. Sims,NYK,19,222,116.1,126.6,-10.6,48.7,2.27,15.7,25.9,75.6,49.7,0.1,53.6,56.9,96.02,43.2
B. Bogdanovic - S. Bey - I. Stewart - C. Cunningham - J. Ivey,DET,11,215,113.6,119.6,-6,58.7,1.64,16.5,29.6,73.5,51.3,0.1,52,57.6,103.72,47.5
D. DeRozan - N. Vucevic - Z. LaVine - A. Caruso - P. Williams,CHI,27,201,116.6,108.9,7.7,57.3,2.23,18.1,16.2,74.5,46.2,0.1,58.1,62.9,99.42,54.7
G. Hayward - M. Plumlee - T. Rozier - P. Washington - L. Ball,CHA,14,199,110.7,112.8,-2,69.9,2.21,20.6,24.5,77.7,49.1,0.1,53.8,56.1,105.59,47.9
R. Bullock - T. Hardaway Jr. - S. Dinwiddie - C. Wood - L. Doncic,DAL,12,198,114,117.5,-3.5,56,2.74,18.6,12.2,71.1,43,0.1,57,59.3,93.24,48
M. Plumlee - T. Rozier - P. Washington - J. McDaniels - L. Ball,CHA,18,197,118.2,123.4,-5.1,58.6,2.48,18.6,26.9,73.2,48.3,0.1,54.8,58.4,102.68,47.6
M. Fultz - M. Wagner - B. Bol - F. Wagner - P. Banchero,ORL,14,193,106.7,113.4,-6.7,58.5,1.28,16.7,32.2,74.3,53.4,0.2,51.4,55.7,102.81,48.4
J. Poeltl - K. Johnson - D. Vassell - T. Jones - J. Sochan,SAS,18,189,110.3,111,-0.8,67.8,2.14,20.6,30.7,71.6,49.6,0.1,52.9,54.7,101.47,48.5
B. Lopez - J. Holiday - G. Antetokounmpo - G. Allen - J. Carter,MIL,25,186,114.2,97.3,16.9,59.7,1.93,18.9,27.7,79.5,54.6,0.1,56,58.6,105.77,59.1
P. Siakam - F. VanVleet - G. Trent Jr. - P. Achiuwa - S. Barnes,TOR,17,183,119.7,117.5,2.2,57.6,2.11,18.5,29.9,73.8,50.3,0.1,56.2,59.6,99.48,49.7
A. Horford - M. Smart - J. Brown - J. Tatum - G. Williams,BOS,20,179,110.8,109.8,1,65.5,2.55,19.4,18.2,76.9,46.4,0.1,54.3,57.5,100.44,49.5
T. Hardaway Jr. - S. Dinwiddie - D. Powell - D. Finney-Smith - L. Doncic,DAL,18,171,126.4,121.5,4.9,57.7,2.2,18.6,29.3,73.5,50.8,0.1,61.7,63.3,96.83,50
S. Curry - K. Thompson - D. Green - K. Looney - D. DiVincenzo,GSW,20,170,114.7,94.7,20.1,77,1.91,22.3,32.6,77.6,55.9,0.2,58.4,60.3,105.68,61.5
K. Lowry - B. Adebayo - C. Martin - M. Strus - T. Herro,MIA,16,167,117.1,105.8,11.3,66.4,2.3,20.6,20.4,79.2,51.7,0.1,58.4,62.3,99.71,55.6
J. Randle - J. Brunson - M. Robinson - Q. Grimes - I. Quickley,NYK,27,165,109.6,101.8,7.8,46.5,1.54,13.9,29.3,74.4,51.9,0.1,51,54.8,95.41,51.4
P. George - M. Morris Sr. - K. Leonard - R. Jackson - I. Zubac,LAC,13,164,113.1,107.7,5.4,56.2,1.6,17.3,23,84,55,0.1,57.5,60.8,98.35,51.2
R. Bullock - S. Dinwiddie - D. Powell - D. Finney-Smith - L. Doncic,DAL,15,162,115.6,106.6,9,54.1,1.85,16.8,23.1,67.8,44.9,0.1,57.5,59.6,95.2,52.3
S. Adams - D. Brooks - J. Jackson Jr. - J. Morant - J. Konchar,MEM,15,162,115.3,104.6,10.7,48.4,1.6,15.7,31.7,77.3,55.9,0.1,55.7,58.4,104.18,56.4
B. Beal - K. Porzingis - K. Kuzma - M. Morris - D. Avdija,WAS,18,157,123.1,111.3,11.7,64.6,2.26,20.5,28.8,76.5,53.3,0.1,58.3,61.7,99.52,56.4
S. Curry - K. Thompson - D. Green - A. Wiggins - J. Poole,GSW,24,155,107.5,109.5,-2,69.9,1.96,19.9,17.5,68.2,43.4,0.1,55.1,59.1,114.89,48.8
D. Mitchell - J. Allen - D. Garland - L. Stevens - E. Mobley,CLE,12,153,115.2,118.1,-2.9,61.5,1.8,21,25.6,75.2,53.1,0.2,61.7,63.4,94.98,52.2
N. Vucevic - Z. LaVine - C. White - P. Williams - A. Dosunmu,CHI,39,148,96.4,108,-11.7,62.1,1.93,17.3,21.5,76.7,47.9,0.1,49.8,52.9,106.19,44.9
T. Jones - D. Brooks - J. Jackson Jr. - X. Tillman - D. Bane,MEM,13,148,116.7,112.5,4.2,61.5,2.76,20.7,19.9,73.8,46.2,0.1,58,59.1,103.93,52.3
K. Olynyk - L. Markkanen - T. Horton-Tucker - O. Agbaji - W. Kessler,UTA,10,147,122.7,111.4,11.3,62.9,1.64,19.4,45.6,78.9,63.4,0.2,57.4,60,100.34,56.2
K. Thompson - D. Green - K. Looney - D. DiVincenzo - J. Poole,GSW,22,147,114,114.6,-0.5,66.4,2.23,19.4,34.5,68.8,51.9,0.1,54.5,56.7,102.94,50.1
J. Butler - B. Adebayo - C. Martin - G. Vincent - T. Herro,MIA,22,143,118,101.3,16.6,62.3,2.17,18.8,27,76.5,52.7,0.1,55.5,61.3,99.64,59.5
M. Plumlee - K. Oubre Jr. - T. Rozier - P. Washington - J. McDaniels,CHA,12,143,105.9,104,1.9,60.3,2.15,17.3,26.8,73,48.4,0.1,49.1,52.2,101.61,49.1
D. Brooks - J. Jackson Jr. - J. Morant - X. Tillman - D. Bane,MEM,13,142,107.4,103.5,3.9,68,2.02,19.9,22.4,73.5,48.7,0.1,52.8,56.2,104.82,51.1
P. George - M. Morris Sr. - K. Leonard - I. Zubac - T. Mann,LAC,10,142,133,118.1,14.8,59.6,3.52,21.4,23.9,77.4,52.4,0.1,63.5,65.8,92.22,54.8
M. Turner - B. Hield - A. Nembhard - T. Haliburton - J. Smith,IND,13,135,108.9,111.6,-2.7,68.6,1.88,20,21.5,71.7,46.1,0.1,55.3,58,104.02,47.4
C. McCollum - L. Nance Jr. - B. Ingram - H. Jones - T. Murphy III,NOP,24,133,116.8,103.5,13.3,60.2,2.15,18.6,26.8,71.7,49,0.1,57.1,61,102.14,57.4
K. Olynyk - J. Clarkson - L. Markkanen - C. Sexton - J. Vanderbilt,UTA,12,133,133.8,118.1,15.7,66.7,1.91,22.6,32.4,68.7,52.5,0.2,67.4,70.4,99.65,56.6
E. Gordon - J. Green - K. Martin Jr. - A. Sengun - J. Smith Jr.,HOU,10,132,118.1,130.9,-12.8,59.1,1.95,19.6,27.9,70.5,49.2,0.1,59.4,61.7,104.04,45
M. Wagner - B. Bol - C. Anthony - F. Wagner - J. Suggs,ORL,17,132,109.1,99,10.1,58.9,1.57,17.1,24.8,72.9,50.2,0.1,52.6,58.3,105.13,58.7
D. DeRozan - A. Drummond - C. White - P. Williams - A. Dosunmu,CHI,24,131,114.2,104.6,9.6,54.8,2.34,17.6,29.5,69.5,49.4,0.1,56.9,59.3,102.69,55.9
B. Bogdanovic - D. Murray - O. Okongwu - J. Johnson - A. Griffin,ATL,24,129,116.5,111.4,5.1,56.6,1.73,18.5,35,75.8,56.1,0.2,57.1,58.9,97.49,52.4
D. DeRozan - P. Beverley - N. Vucevic - Z. LaVine - P. Williams,CHI,14,129,95.3,127,-31.6,66.3,1.69,18.1,14.2,65.1,37.7,0.1,48.8,52.6,97.09,34.4
C. Paul - K. Durant - D. Booker - J. Okogie - D. Ayton,PHX,8,128,116.5,103.8,12.7,67.3,2.3,20.5,25.7,69,49.8,0.1,59.8,62.9,99.31,60.8
S. Adams - D. Brooks - J. Jackson Jr. - J. Morant - D. Bane,MEM,11,128,114.7,101.8,13,53.7,2.03,16.2,36.9,77.6,56.6,0.1,49.1,53,104.29,53.5
J. Harden - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,27,127,112.8,108,4.8,70.7,1.84,19,29.7,76.1,53.5,0.1,53.1,61.1,100.01,55.5
J. Randle - M. Robinson - R. Barrett - Q. Grimes - I. Quickley,NYK,13,122,107.4,112.7,-5.4,53,2.04,15.9,27.1,72.3,50,0.1,49.8,52.6,97.13,48.2
K. Porzingis - K. Kuzma - M. Morris - D. Avdija - C. Kispert,WAS,12,122,102.7,107.3,-4.6,62.7,2,18.8,12.7,70.3,44.5,0.1,54.2,56.8,102.66,50.1
L. James - P. Beverley - D. Schroder - T. Bryant - T. Brown Jr.,LAL,13,120,130.4,111.6,18.9,57,3.14,19.5,27.7,70.4,50.2,0.1,62.7,65.6,101.16,59.2
B. Beal - K. Porzingis - K. Kuzma - M. Morris - D. Gafford,WAS,13,119,118.5,113.5,5.1,61.5,1.8,20.7,26.2,75.9,54.6,0.2,59.9,62.6,100.68,51.1
B. Lopez - J. Holiday - K. Middleton - G. Antetokounmpo - G. Allen,MIL,16,119,134.5,122.4,12.1,56.3,2.48,20.2,27,78,55.2,0.1,66.2,69.7,103.66,55.6
J. Randle - I. Hartenstein - J. Brunson - R. Barrett - C. Reddish,NYK,9,118,111.3,119,-7.7,57.1,2,16.3,30,71.3,48.7,0.1,48.9,54.7,100.77,46.6
K. Durant - K. Irving - J. Harris - R. O'Neale - N. Claxton,BKN,11,118,103.2,95.3,7.8,54,1.69,16.7,15.7,77.6,47.9,0.1,54.6,56.9,103.78,57.1
A. Horford - J. Brown - J. Tatum - D. White - G. Williams,BOS,17,117,114.8,101.7,13.1,59.4,2,17.8,28.2,78.7,54.5,0.1,54.6,58.6,99.37,57.7
J. Valanciunas - C. McCollum - N. Marshall - H. Jones - T. Murphy III,NOP,16,117,122,112.1,9.9,62.4,1.79,19.1,37.7,77,57.3,0.2,57.3,61.1,99.1,53.9
J. Randle - I. Hartenstein - J. Brunson - Q. Grimes - I. Quickley,NYK,30,115,125.8,112.8,13.1,45.5,1.85,14.9,40.4,65.9,53.9,0.1,56.7,61.1,99.46,58.4
M. Turner - B. Hield - A. Nembhard - T. Haliburton - B. Mathurin,IND,26,114,118.7,102.9,15.8,59.2,2.1,18.2,29.2,65.3,48.7,0.1,58.7,62.4,102.2,58.5
J. Valanciunas - C. McCollum - B. Ingram - Z. Williamson - H. Jones,NOP,10,113,118.1,111.9,6.3,52.7,2.19,17.7,34.2,75.4,55.5,0.1,55,57.3,100.11,52.6
J. Poeltl - K. Johnson - R. Langford - T. Jones - J. Sochan,SAS,13,112,116.6,124.6,-8,59.1,3.25,18.8,34.6,72.9,51.9,0.1,50.4,53.3,99.86,48.5
R. Westbrook - P. George - M. Morris Sr. - K. Leonard - I. Zubac,LAC,7,112,108,93.4,14.6,63.4,1.94,19.4,24.8,74.8,51.2,0.1,53.6,55.7,103.01,58.2
A. Horford - M. Smart - J. Brown - M. Brogdon - J. Tatum,BOS,25,110,110.5,114.7,-4.2,59.1,1.11,16.3,30.9,67.2,51,0.2,57.3,62.8,105.42,49.7
E. Fournier - J. Randle - J. Brunson - M. Robinson - R. Barrett,NYK,7,110,107.7,116.9,-9.2,48.5,1.53,15.3,30.6,72.3,49.3,0.1,51.1,53.3,102.44,40.8
K. Irving - S. Curry - J. Harris - R. O'Neale - N. Claxton,BKN,17,110,116,110.4,5.6,60.2,3.65,19.9,19.8,68.9,47.6,0.1,58.9,60.9,100.29,55.3
H. Barnes - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,21,105,122.6,112.6,10,47.6,2.08,15.5,30.8,76.3,52.5,0.1,57,61.6,107.86,54.3
D. DeRozan - N. Vucevic - Z. LaVine - A. Caruso - A. Dosunmu,CHI,29,104,111.7,105.4,6.3,49.5,1.68,16.1,23.7,70.1,48.5,0.1,55.4,59.9,102.84,53.3
K. Lowry - J. Butler - B. Adebayo - C. Martin - M. Strus,MIA,17,101,128.1,107.2,20.8,69.7,2.14,20.9,34.4,69.9,53.4,0.1,59.9,64.9,97.65,59.9
C. LeVert - J. Allen - D. Garland - I. Okoro - E. Mobley,CLE,14,100,126.7,118,8.7,65.4,2.62,22.3,37.2,67.4,51.9,0.1,62.2,62.5,97.49,54.8
M. Turner - B. Hield - T. Haliburton - A. Nesmith - J. Smith,IND,9,100,119.2,120.2,-1,76.6,3.6,23.6,19.6,83.3,50.3,0.1,58.6,61.6,102.67,50.6
P. George - M. Morris Sr. - R. Jackson - I. Zubac - L. Kennard,LAC,8,100,109.3,98.5,10.8,57,1.32,18.1,20,81.7,54.6,0.2,59.2,61.2,97.6,57
S. Adams - D. Brooks - J. Morant - D. Bane - S. Aldama,MEM,12,100,113.3,101.9,11.4,57.8,1.63,16.7,43.1,80.4,59.6,0.2,50.7,53.9,100.83,53.7
G. Hayward - K. Oubre Jr. - T. Rozier - P. Washington - N. Richards,CHA,10,98,114.1,119.8,-5.7,61.5,2.15,19.6,27.3,73.6,48.9,0.1,55.6,58.1,101.23,46.2
I. Hartenstein - J. Hart - R. Barrett - O. Toppin - I. Quickley,NYK,18,98,105.3,104.7,0.5,52.6,1.21,14.9,27.3,80,53.1,0.2,52.6,56.7,102.79,48.3
K. Durant - J. Harris - R. O'Neale - E. Sumner - N. Claxton,BKN,11,98,106.4,104.5,1.9,65.5,2.29,19.8,22.1,74.3,50,0.1,53.4,55.8,98.53,53.7
N. Vucevic - Z. LaVine - A. Caruso - P. Williams - A. Dosunmu,CHI,16,98,113.5,109.3,4.3,63.7,2.52,20.2,23.2,79.3,50.8,0.1,57.1,59.2,101.29,52.3
C. Paul - T. Craig - M. Bridges - D. Ayton - C. Johnson,PHX,6,97,118.8,104.1,14.7,65.6,2.19,20.7,32.6,64.8,50.3,0.1,57,60.4,97.7,57.7
G. Harris - M. Fultz - W. Carter Jr. - C. Anthony - P. Banchero,ORL,26,97,110.4,119.3,-8.9,56.3,1.41,16.8,27.2,70.9,49.7,0.2,57.5,61.8,102.47,45.2
M. Harrell - G. Niang - S. Milton - M. Thybulle - T. Maxey,PHI,15,97,112.6,109,3.6,51.7,2.65,16.2,29.9,66.3,47.9,0.1,55,58.4,100.97,53.7
C. Paul - D. Booker - T. Craig - M. Bridges - D. Ayton,PHX,9,96,101.5,124.1,-22.6,62.7,1.81,17.3,26.9,64,43.7,0.1,47.2,51.2,99.12,38.3
J. Grant - J. Nurkic - J. Winslow - J. Hart - A. Simons,POR,10,96,117.1,108.9,8.2,69.1,2.55,20.5,28.1,77.1,53.5,0.1,56.9,60.4,95.58,54.9
K. Anderson - D. Russell - N. Reid - A. Edwards - J. McDaniels,MIN,18,95,105.4,101,4.4,68.4,1.54,19.2,24.2,72.5,47.8,0.2,55,58.2,102.3,52.4
L. Dort - I. Joe - J. Giddey - J. Williams - J. Williams,OKC,9,95,110,121.3,-11.3,57.8,2.29,17,23.1,78.5,46.5,0.1,51.6,55.5,104.4,43.2
P. Tucker - J. Harden - T. Harris - D. Melton - T. Maxey,PHI,7,95,121.9,111.7,10.2,60.9,2.65,20.4,22.7,76.7,50,0.1,60.3,62.1,95.05,53.6
S. Curry - K. Thompson - D. Green - K. Looney - J. Poole,GSW,20,95,111.5,105.2,6.3,58.5,2.2,18.8,19.2,84.6,52.7,0.1,56.8,59.6,108.39,55.2
I. Hartenstein - R. Barrett - O. Toppin - I. Quickley - M. McBride,NYK,17,93,106.7,110.7,-3.9,58.2,2.42,16.9,30.6,74,50.7,0.1,48.7,51.6,100.5,44.4
J. Valanciunas - C. McCollum - J. Richardson - N. Marshall - T. Murphy III,NOP,15,93,113.9,101.5,12.4,67.5,1.8,18.8,39.4,80.9,59,0.2,51.1,55.5,100.39,55.7
J. Randle - M. Robinson - Q. Grimes - I. Quickley - M. McBride,NYK,8,92,115.8,97.4,18.5,51.4,1.95,14.1,37.3,70.5,51.5,0.1,48.3,51.9,97.36,54.1
C. LeVert - D. Mitchell - D. Garland - L. Stevens - E. Mobley,CLE,9,91,120.3,112.8,7.6,58.8,3.13,20.2,20.3,61.3,43.8,0.1,58.8,61.2,95.82,58
K. Porter Jr. - J. Green - K. Martin Jr. - U. Garuba - T. Eason,HOU,28,91,114,110.7,3.3,54.7,1.08,15,39.8,72.2,56.2,0.2,55.3,60.9,104.32,49.9
K. Thompson - K. Looney - D. DiVincenzo - J. Poole - J. Kuminga,GSW,21,91,119,108.5,10.5,61.4,1.89,18.1,33,73,53.6,0.1,56.6,61.4,105.9,55.8
K. Irving - R. Bullock - D. Powell - L. Doncic - J. Green,DAL,9,90,120.5,116.6,3.9,47.6,2.05,16.2,14.5,76.4,43.2,0.1,60.2,64,102.36,47.2
M. Conley - J. Clarkson - M. Beasley - L. Markkanen - W. Kessler,UTA,14,90,116,104.8,11.3,61.3,2.13,18.1,35.3,79.8,55.4,0.1,54.5,56.1,100.31,53.2
P. Tucker - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,8,90,122.5,105.5,17.1,58,2.24,19.1,22.1,78.3,52.7,0.1,61,64.3,97.41,56.8
S. Gilgeous-Alexander - L. Dort - A. Pokusevski - J. Giddey - J. Williams,OKC,13,90,104.9,127.7,-22.8,54,1.52,17.6,20.2,69.4,46,0.2,54.3,57,108.06,40.3
B. Bogdanovic - M. Bagley III - K. Hayes - I. Stewart - J. Ivey,DET,10,89,83.6,109.6,-26,58.3,1.17,14.3,21.6,80.8,47.2,0.2,43.8,46.2,101.93,33.9
M. Morris Sr. - R. Jackson - I. Zubac - A. Coffey - T. Mann,LAC,6,89,106.6,130.7,-24.1,53.3,1.43,15.7,34.7,75,53.1,0.2,49.4,53.2,96.57,39.3
K. Olynyk - T. Horton-Tucker - O. Agbaji - W. Kessler - S. Fontecchio,UTA,13,88,110.7,126,-15.3,60.5,1.96,19,24.4,72.2,49.2,0.1,53.3,56.9,103.3,45.3
G. Hayward - M. Plumlee - K. Oubre Jr. - D. Smith Jr. - P. Washington,CHA,8,87,94.1,112.5,-18.4,72.7,2.09,18.8,23,72.7,46.3,0.1,46.9,48.9,101.27,39.8
S. Gilgeous-Alexander - L. Dort - A. Pokusevski - J. Robinson-Earl - J. Giddey,OKC,10,87,98.4,126.3,-27.9,68.7,1.77,17.8,23.5,67.1,43.3,0.1,46.7,51.4,105.56,35.7
A. Davis - D. Russell - M. Beasley - T. Brown Jr. - J. Vanderbilt,LAL,11,86,101.7,117.1,-15.5,57.5,1.83,16.9,28.9,69.6,48.7,0.1,50,50.9,100.27,42.6
C. Paul - T. Craig - M. Bridges - L. Shamet - D. Ayton,PHX,10,86,75.6,122.5,-47,64.6,1.24,13.9,15.5,73,39.5,0.1,36.9,41,97.22,23.1
H. Barnes - T. Lyles - D. Fox - M. Monk - C. Metu,SAC,22,86,118.9,100,18.9,53.5,2.09,17.8,28.2,74.2,53.7,0.1,58.3,62.5,104.94,62.8
J. Randle - J. Brunson - Q. Grimes - I. Quickley - J. Sims,NYK,15,86,102.9,104.1,-1.2,41.2,0.97,12.7,27.8,77.6,53.7,0.2,52.5,55.8,95.14,47.3
J. Randle - J. Brunson - M. Robinson - R. Barrett - I. Quickley,NYK,22,85,107.2,105.5,1.7,55.6,1.29,16.7,28.4,64.9,49.1,0.2,59.9,61.5,101.73,51.7
P. Siakam - F. VanVleet - O. Anunoby - S. Barnes - C. Koloko,TOR,8,85,113.2,111.9,1.3,50.7,1.65,16.2,27.4,83.1,52.9,0.1,54.2,57.9,99.14,48.8
A. Burks - B. Bogdanovic - S. Bey - J. Ivey - J. Duren,DET,16,84,119.7,119.2,0.5,58.6,1.71,16.9,30.4,68.9,50.9,0.1,57.7,62.4,101.58,51.6
A. Rivers - R. Gobert - D. Russell - A. Edwards - J. McDaniels,MIN,15,84,108.9,117.1,-8.2,50,1.48,16.1,33,79.7,54.3,0.2,54.9,56.4,102.94,45.2
R. Westbrook - E. Gordon - N. Batum - K. Leonard - I. Zubac,LAC,5,83,129.2,112,17.2,65.9,2.43,22.1,24.7,81.9,54.4,0.1,64.4,66.1,102.08,58.2
G. Hayward - T. Rozier - P. Washington - L. Ball - M. Williams,CHA,7,82,122.2,128.7,-6.5,57.1,3.69,19.8,23.2,73.9,50,0.1,58.1,60,103.63,48.5
J. Randle - I. Hartenstein - J. Brunson - R. Barrett - Q. Grimes,NYK,22,82,101.7,130.5,-28.8,51.6,1.32,14.2,26.4,70.1,47,0.1,48.6,53.9,102.44,36.4
