Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
S. Curry - D. Green - A. Wiggins - J. Kuminga - B. Podziemski,GSW,24,232,117.3,105,12.3,71.6,3.24,22.3,24.4,75,51,0.1,57.7,60.1,103.24,57.4
D. Schroder - D. Finney-Smith - M. Bridges - N. Claxton - C. Thomas,BKN,17,228,110.1,116,-5.9,66.8,2.69,20.1,24.2,71.7,47.3,0.1,53.6,55.7,95.47,48
J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,NYK,14,228,111.2,104.8,6.4,55.3,1.64,16.2,29,70,49.5,0.1,52.3,56,100.13,50.8
D. DeRozan - N. Vucevic - Z. LaVine - A. Caruso - C. White,CHI,18,227,106.6,109.4,-2.9,64.8,1.76,18.6,16.9,71.5,45.5,0.1,54.4,58.2,100.39,47.2
S. Dinwiddie - M. Bridges - N. Claxton - C. Johnson - C. Thomas,BKN,24,224,105.6,122.7,-17,62.6,2.13,18.5,18.8,68.1,42,0.1,52,54.9,102.17,39.8
K. Durant - E. Gordon - J. Nurkic - D. Booker - G. Allen,PHX,36,220,115.1,102.8,12.3,68.3,2.06,21.7,22.5,74,52.7,0.1,60.5,63.4,102.8,59.8
N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,14,219,135.2,101.3,34,65.8,3.22,21.6,31.8,76.9,56.6,0.1,62.3,67.2,103.73,65.7
M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,MIN,41,200,102.1,102.1,0,61.7,1.54,17.6,22.8,70.2,47.8,0.2,54.1,56.3,101.64,51.7
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,NYK,12,189,119.5,113,6.4,60.5,2.2,18.9,33,72.6,52.5,0.1,54.4,57.8,93.77,55.3
F. VanVleet - D. Brooks - J. Green - J. Smith Jr. - A. Thompson,HOU,15,183,122.3,117.5,4.8,61.1,2.62,20.6,25.1,74.2,48.8,0.1,59.4,61.6,100.46,51.2
J. Butler - T. Rozier - B. Adebayo - D. Robinson - N. Jovic,MIA,14,181,109.1,115.8,-6.8,67.7,2.5,20.8,14,78.5,46.4,0.1,56.1,58.9,99.3,47.6
J. Randle - O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,NYK,10,180,126.6,110,16.6,66.5,2.13,21.2,28.4,78,54.4,0.1,61.7,65.1,101.73,55.6
C. Capela - D. Murray - T. Young - D. Hunter - S. Bey,ATL,16,177,118.4,115.5,2.9,57.7,2.2,17.9,35.4,72.4,52.4,0.1,53.9,56.9,106.49,50.3
K. Irving - D. Jones Jr. - P. Washington - L. Doncic - D. Gafford,DAL,17,176,115.2,99.7,15.5,60.9,2.21,19.9,24.5,80.4,52.1,0.1,57.9,59.3,104.15,55.9
F. VanVleet - J. Green - J. Tate - A. Sengun - J. Smith Jr.,HOU,21,175,110.6,113.2,-2.5,61.6,2.37,18.8,19.9,74.1,46.5,0.1,53.7,57,99.19,47.2
C. Capela - D. Murray - T. Young - D. Hunter - J. Johnson,ATL,14,172,113,119,-6.1,56.9,1.81,17,28.7,66.1,46.7,0.1,53,57.1,103.97,47.6
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - M. McBride,NYK,14,172,138.2,107.1,31.1,66.5,3.9,23.6,28.8,69.4,50,0.1,66.3,67.9,94.51,62.5
M. Turner - B. Hield - B. Brown - O. Toppin - T. Haliburton,IND,17,171,134,114.1,19.9,71.1,3.21,24.3,27.5,79.3,54.5,0.1,64.3,67,106.04,57.9
J. Poeltl - G. Trent Jr. - R. Barrett - I. Quickley - S. Barnes,TOR,10,164,119.4,109.2,10.3,66.9,2.87,21,31.7,72.8,51.8,0.1,55.5,58.2,103.17,55.2
C. LeVert - G. Niang - J. Allen - D. Garland - I. Okoro,CLE,23,160,116.9,123.9,-7,71.2,2.61,21.8,26.1,64.3,45.3,0.1,58.9,61.7,95.13,50.5
T. Jones - K. Kuzma - D. Gafford - J. Poole - B. Coulibaly,WAS,29,160,104.3,119.1,-14.8,66.2,2.47,19.7,19.3,56.6,37.3,0.1,52.8,55.2,104.91,43.3
C. Capela - B. Bogdanovic - D. Murray - D. Hunter - V. Krejci,ATL,11,158,117.7,107.2,10.5,58.5,2.37,18.2,34.1,77.9,54.9,0.1,54.6,56.8,96.62,52.5
S. Curry - K. Thompson - D. Green - A. Wiggins - J. Kuminga,GSW,24,157,116.1,98,18.1,63.2,2.23,20,25.8,70.4,49.6,0.1,57.8,60,105.06,57.1
D. DeRozan - N. Vucevic - A. Caruso - C. White - P. Williams,CHI,14,153,113.3,112.3,1,60.5,2.23,18.2,24,77.7,50.3,0.1,54.9,58.9,99.59,48.8
K. Anderson - K. Towns - N. Alexander-Walker - N. Reid - A. Edwards,MIN,43,153,110.8,114.5,-3.7,65.6,1.87,18.5,27.6,73.2,50.2,0.1,55.7,60.1,103.51,49.6
H. Barnes - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,36,151,115.3,117,-1.8,55.1,2.11,16.4,32.4,78.6,52.5,0.1,51.7,56.6,105.17,47.3
L. James - A. Davis - D. Russell - T. Prince - C. Reddish,LAL,14,151,108.8,108.5,0.3,73.1,2,21.3,21.5,70.9,48.1,0.1,54.8,58.3,104.96,51.8
C. McCollum - L. Nance Jr. - B. Ingram - Z. Williamson - H. Jones,NOP,25,150,106.5,110.9,-4.4,63.2,1.84,18.6,25.5,72.7,48.6,0.1,52.7,56.8,99.77,48.1
C. Capela - B. Bogdanovic - D. Murray - S. Bey - J. Johnson,ATL,20,149,107,113.7,-6.7,56.1,1.82,15.3,36.7,71.8,53.7,0.1,47.3,51.8,101.43,48.3
J. Harden - P. George - K. Leonard - M. Plumlee - T. Mann,LAC,11,148,133.2,117.8,15.4,63,3.41,21.6,29.9,71.6,52.4,0.1,63.1,65.9,95.39,57.5
J. Valanciunas - C. McCollum - Z. Williamson - H. Jones - T. Murphy III,NOP,21,148,110.1,109.1,1,59,2.41,18.8,22.7,76,47.9,0.1,52.9,54.9,103.49,50.3
M. Turner - B. Brown - O. Toppin - T. Haliburton - B. Mathurin,IND,20,148,118.6,122.6,-4,64.2,2,19.1,30.4,71.1,50.8,0.1,55.8,60.6,106.41,47.6
K. Olynyk - J. Clarkson - O. Agbaji - W. Kessler - K. George,UTA,16,146,110,122.4,-12.4,71.3,1.64,20.4,28.2,64.1,49,0.2,56.7,61.6,101.64,47.8
I. Stewart - C. Cunningham - J. Ivey - J. Duren - A. Thompson,DET,14,145,110.4,118.1,-7.7,65.5,1.66,18.5,32.6,77.5,54.8,0.2,52.7,57.4,99.98,45.8
K. Johnson - D. Vassell - T. Jones - J. Sochan - V. Wembanyama,SAS,39,142,117.4,96.6,20.8,73,2.5,21.3,34.9,68.9,52,0.1,56.5,60.3,108.96,62.8
S. Curry - K. Thompson - D. Green - A. Wiggins - K. Looney,GSW,13,140,109,118.1,-9.1,67.6,1.34,17.3,38.7,80.1,58.1,0.2,52.1,56.3,101.49,45.8
D. DeRozan - N. Vucevic - C. White - P. Williams - A. Dosunmu,CHI,20,139,118.2,100.7,17.5,69.9,2.97,21.1,26.4,73.2,50.5,0.1,54.9,58.8,99.33,57.4
B. Bogdanovic - T. Young - O. Okongwu - S. Bey - J. Johnson,ATL,19,136,123,109.3,13.7,67.7,2.25,21,31.3,74,54,0.1,59.5,63.5,105.65,58.1
N. Batum - T. Harris - J. Embiid - K. Oubre Jr. - T. Maxey,PHI,12,136,123.3,115.4,7.9,73,2.79,22.3,28.7,68.1,49.5,0.1,57.5,61.9,100.12,54.5
C. Capela - B. Bogdanovic - D. Murray - D. Hunter - J. Johnson,ATL,24,135,104.3,107,-2.6,70.6,1.71,20.1,24.6,81.2,53.3,0.2,54.6,57.9,106.58,50.8
O. Anunoby - I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo,NYK,10,131,118.3,102.7,15.6,59.3,1.87,19.5,32.2,81.6,57.3,0.1,57.4,59.5,96.26,58.2
H. Barnes - D. Sabonis - D. Fox - C. Duarte - K. Murray,SAC,13,130,112.2,110.7,1.5,54.9,1.34,17.2,36.6,76.6,55.3,0.2,55.1,56.1,100.21,48.3
J. Clarkson - L. Markkanen - J. Collins - O. Agbaji - K. George,UTA,12,130,111.8,119.6,-7.8,60,1.78,17.3,32.1,71.2,50.6,0.1,52.4,56.1,100.79,44.2
M. Conley - R. Gobert - K. Towns - N. Alexander-Walker - A. Edwards,MIN,18,124,110.6,103.1,7.6,63,1.66,18.7,25.2,73.9,50.2,0.2,55.5,58.1,101.03,54.4
M. Conley - R. Gobert - K. Anderson - A. Edwards - J. McDaniels,MIN,34,123,95.7,108.2,-12.5,63.7,1.49,15.9,34.5,74.4,53.1,0.2,45.4,50,100.44,45.9
D. DeRozan - N. Vucevic - Z. LaVine - C. White - P. Williams,CHI,15,122,115.9,121.4,-5.5,54,2.26,18.2,20.2,81.5,49.3,0.1,57.2,59.7,98.57,45.3
J. Harden - P. George - K. Leonard - N. Powell - I. Zubac,LAC,28,121,121.3,102.9,18.4,63.4,2.73,20,23,75,49.3,0.1,58.3,62.9,99.29,62.1
B. Lopez - D. Lillard - G. Antetokounmpo - P. Connaughton - M. Beasley,MIL,26,120,117.4,95.7,21.7,66,1.61,17.7,22.5,81.6,56.2,0.1,58.3,65.6,111.32,61.9
A. Horford - K. Porzingis - J. Brown - J. Tatum - D. White,BOS,20,118,123.7,107.5,16.2,63.2,3.79,20.2,23.1,80.2,52.2,0.1,57.8,61.6,103.93,59.2
C. LeVert - G. Niang - D. Garland - I. Okoro - E. Mobley,CLE,17,118,120,96.9,23.1,77.1,2,23.8,27.6,68.8,51.9,0.2,63.9,65.9,101.66,61.7
I. Hartenstein - J. Hart - D. DiVincenzo - R. Barrett - I. Quickley,NYK,14,116,110.6,102.3,8.2,58.6,1.61,16.7,34.6,69.5,51.4,0.1,51.4,55.1,103.6,51.9
V. Micic - M. Bridges - N. Richards - T. Mann - B. Miller,CHA,12,115,111.8,120.7,-8.9,62.5,1.82,19.8,23.5,67,44.4,0.1,57.3,59.4,92.2,42.7
C. Cunningham - J. Ivey - J. Duren - S. Fontecchio - A. Thompson,DET,10,113,110.3,106.5,3.8,60.4,2.29,18.6,29.5,79.1,52.9,0.1,51.8,54.1,103.5,49.7
J. Grant - M. Brogdon - D. Ayton - S. Sharpe - T. Camara,POR,10,113,106.8,113.4,-6.7,60.2,1.35,15.6,28.8,68,46.8,0.2,49,55.6,101.05,44.3
V. Micic - M. Bridges - G. Williams - T. Mann - B. Miller,CHA,15,111,109.3,125.8,-16.6,69.5,2.06,21.1,11.3,64.7,40.4,0.1,59.3,62.5,102.26,44.4
J. Butler - B. Adebayo - C. Martin - T. Herro - N. Jovic,MIA,8,109,115.9,114,1.9,65.2,2.42,19.3,22.8,69.6,47.4,0.1,55.3,60.2,95.23,52.4
J. Randle - J. Hart - J. Brunson - M. Robinson - Q. Grimes,NYK,19,109,99.6,111.8,-12.2,53.7,1.57,13.8,37.6,76.5,53.9,0.1,46,47.7,97.44,43.2
T. Harris - J. Embiid - K. Oubre Jr. - D. Melton - T. Maxey,PHI,10,109,119.7,118.3,1.3,61.9,2.07,18.5,24.5,74.5,49.5,0.1,55.1,61.4,105.72,50.9
J. Valančiūnas - C. McCollum - B. Ingram - H. Jones - T. Murphy III,NOP,28,108,112.2,96.4,15.7,71.1,2.88,21.4,22.9,81.5,54,0.1,57,59.4,100.49,58.1
S. Curry - K. Thompson - K. Looney - J. Kuminga - B. Podziemski,GSW,18,108,113.5,132.6,-19.1,70.1,2.43,20.6,29.3,74.7,50.2,0.1,54.5,57,101.11,42.8
H. Barnes - D. Sabonis - K. Huerter - D. Mitchell - K. Murray,SAC,18,106,95.9,110,-14.1,74.1,2.14,19.8,19.3,79.8,46.8,0.1,49,50.8,99.27,40.5
R. Gobert - K. Towns - N. Alexander-Walker - A. Edwards - J. McDaniels,MIN,25,106,122.8,116.4,6.4,63.3,2.38,20.9,24.1,71.4,50.5,0.1,63.1,66.2,98.33,53.7
A. Horford - J. Holiday - J. Tatum - P. Pritchard - S. Hauser,BOS,32,105,123.8,107,16.8,69.2,2.25,20.9,30.9,66.1,50.5,0.1,62.8,65.7,96.86,56.3
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,9,104,108.4,108.3,0.2,63,2.07,18.5,26.8,71.1,49.1,0.1,51,55.2,105.51,51.9
D. Murray - T. Young - O. Okongwu - S. Bey - J. Johnson,ATL,14,103,119.9,119.4,0.5,68.1,2.3,19.2,31.8,70.4,51.6,0.1,53.6,59.6,105.09,50.5
K. Johnson - D. Vassell - M. Branham - J. Sochan - V. Wembanyama,SAS,13,103,101.3,103.9,-2.6,67.1,1.5,18.4,22.2,73.7,48.6,0.2,51.8,55.1,106.87,48.3
D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - G. Trent Jr.,TOR,24,102,100.4,115.5,-15.1,64.8,1.97,18.8,26.4,76.5,48.2,0.1,52.3,54.1,104.84,43
G. Harris - J. Ingles - J. Isaac - M. Wagner - C. Anthony,ORL,18,102,105.8,101.8,4,67.1,1.46,18.2,38.4,75,56.8,0.2,54.2,58.1,104.97,54
J. Randle - I. Hartenstein - J. Brunson - D. DiVincenzo - R. Barrett,NYK,10,102,117,127.4,-10.4,57,1.56,16.6,38.4,75.8,55.9,0.2,51.5,57.3,104.27,46.8
M. Bridges - C. Martin - N. Richards - T. Mann - B. Miller,CHA,8,102,102.4,109,-6.6,65.5,1.72,19.2,23.8,67.6,46,0.2,50.8,53.2,98.26,46.1
G. Bitadze - C. Okeke - J. Suggs - P. Banchero - C. Houstan,ORL,8,101,112.4,113.2,-0.8,51.8,2.26,15.8,31.6,81.8,53.2,0.1,50.3,51.9,92.59,45.8
L. James - A. Davis - T. Prince - C. Reddish - A. Reaves,LAL,12,101,112.3,124.8,-12.5,71.4,2.41,21.5,25.5,75.6,48.4,0.1,54.8,57.7,101.61,45.7
S. Gilgeous-Alexander - L. Dort - I. Joe - C. Holmgren - J. Williams,OKC,37,101,122.3,106.3,16,42,1.83,13.6,24.8,70.8,47.2,0.1,57,64.1,110.04,60.1
C. McCollum - L. Nance Jr. - Z. Williamson - H. Jones - T. Murphy III,NOP,15,100,124.2,108.8,15.5,61.6,2.79,19.3,24.5,78.8,49.4,0.1,57.6,61.5,96.46,55.2
K. Hayes - I. Stewart - C. Cunningham - J. Duren - A. Thompson,DET,8,100,101.8,112,-10.1,73.1,1.48,21.3,34,72.1,54,0.2,53.2,55.1,104.02,48.5
A. Davis - S. Dinwiddie - D. Russell - R. Hachimura - A. Reaves,LAL,14,99,119.2,123.8,-4.6,59.8,3.63,19.9,15.8,71.8,44.9,0.1,59,62.2,103.95,50
K. Irving - D. Jones Jr. - L. Doncic - G. Williams - D. Lively II,DAL,12,99,108.7,111,-2.3,50,1.62,16.2,23.8,80.4,51,0.1,54.5,56.8,106.15,45.9
K. Lowry - T. Harris - K. Oubre Jr. - M. Bamba - T. Maxey,PHI,7,99,107,107.5,-0.5,62.7,1.96,17.6,19.6,77.3,47.7,0.1,52,55.7,96.7,49.1
L. Markkanen - J. Collins - C. Sexton - T. Hendricks - K. George,UTA,9,99,109.3,112.5,-3.2,63.1,1.43,18.1,26,68.9,48.2,0.2,55,59.6,104.17,47.3
R. Gobert - K. Anderson - N. Alexander-Walker - N. Reid - A. Edwards,MIN,35,99,117.3,86.4,30.9,63.2,1.9,18.3,35.2,75.7,57.8,0.1,59.2,63.1,105.52,67.9
D. DeRozan - N. Vucevic - Z. LaVine - T. Craig - C. White,CHI,11,98,95.6,129.8,-34.2,66.2,3,18.1,23.3,67.4,42.8,0.1,45.2,47.4,100.28,34.5
R. Westbrook - K. Leonard - N. Powell - D. Theis - A. Coffey,LAC,20,98,116.5,110,6.5,54.6,1.96,18,30.3,59.3,45.8,0.1,57.7,59.7,105.78,49.7
Z. Collins - K. Johnson - D. Vassell - T. Jones - J. Sochan,SAS,32,98,107.1,112.6,-5.4,64.8,1.97,19.8,23.1,68.9,47.4,0.1,57.8,59.8,103.98,47.1
A. Davis - D. Russell - T. Prince - R. Hachimura - A. Reaves,LAL,25,97,107.6,110,-2.4,65.1,1.93,18.5,27.3,68.5,49,0.1,52.7,56.6,104.3,51
D. Ayton - S. Henderson - J. Walker - K. Murray - R. Rupert,POR,8,97,100.5,113.6,-13.1,60.8,1.6,17.2,30.6,77.9,51.3,0.2,47.4,50,98.6,40.6
J. Holiday - J. Tatum - L. Kornet - P. Pritchard - S. Hauser,BOS,22,96,126.6,92.9,33.7,55.2,3.43,17.5,35.8,68.2,52.1,0.1,53.1,56.8,96.26,63.9
J. Randle - I. Hartenstein - J. Hart - J. Brunson - I. Quickley,NYK,26,96,128.6,102.9,25.6,53.2,1.92,17.4,32.9,76.2,56.5,0.1,61.1,65.8,104.15,64.9
C. LeVert - D. Mitchell - J. Allen - M. Strus - I. Okoro,CLE,23,94,111.9,110.4,1.5,62.4,2.79,19.1,25.8,65.7,46.7,0.1,54.3,57.8,102.45,53.5
B. Lopez - D. Lillard - B. Portis - P. Connaughton - M. Beasley,MIL,33,93,114.5,92.2,22.2,52.7,3.43,17.1,18.6,83.7,51.5,0.1,56,59.2,112.16,56.2
C. Paul - S. Curry - K. Thompson - A. Wiggins - K. Looney,GSW,14,93,124.8,106.5,18.2,73.9,2.83,23,28.3,70.4,50,0.1,61.5,64.1,103.1,56.9
T. Jones - K. Kuzma - J. Poole - D. Avdija - B. Coulibaly,WAS,15,92,94.6,121.4,-26.8,64.3,1.55,17.1,15,64.1,36.5,0.1,48.8,52.5,106.77,33
I. Stewart - C. Cunningham - J. Ivey - J. Duren - S. Fontecchio,DET,9,90,111,102.1,8.9,66.3,1.77,19.6,30.3,83.1,56.7,0.2,53.3,57.5,101.69,52.9
K. Durant - B. Beal - D. Booker - G. Allen - D. Eubanks,PHX,17,90,98.9,116.6,-17.6,65.7,1.77,18.3,21.3,69.4,44.1,0.1,50,53,97.6,41.8
L. James - A. Davis - S. Dinwiddie - R. Hachimura - A. Reaves,LAL,20,90,128.3,122.2,6.2,70.5,2.82,23.7,21.9,74.7,52.3,0.1,68.7,71.6,99.73,56.3
R. Jackson - K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson,DEN,40,90,102.6,104,-1.4,73.3,1.53,21.1,19.2,69.3,47.5,0.2,57,59.3,103.83,47.1
B. Bogdanovic - K. Knox II - C. Cunningham - J. Ivey - J. Duren,DET,10,89,117.6,115.6,2.1,60.2,1.92,18.8,33.3,78.2,55.7,0.1,55.4,59,100.22,50.4
J. Grant - M. Brogdon - A. Simons - D. Ayton - J. Walker,POR,6,89,109,112.8,-3.8,64,1.92,19.4,27.1,72.8,50.8,0.1,53.2,56.5,96.99,49.2
J. Valanciunas - B. Ingram - Z. Williamson - H. Jones - D. Daniels,NOP,11,89,134.6,113.9,20.7,66.7,3.78,24.7,30.6,74.1,54.1,0.1,65.9,68.1,99.83,59.8
J. Ingles - J. Isaac - M. Wagner - C. Anthony - A. Black,ORL,11,88,127.5,108.4,19.1,67.9,2.59,21.9,35.1,73.5,55,0.1,62.6,65.1,97.54,57.1
K. Irving - P. Washington - L. Doncic - J. Green - D. Lively II,DAL,9,88,131.7,118.7,13,55.2,2.65,19.7,30,77.3,53.4,0.1,63.1,64.6,102.78,54.2
Z. Collins - K. Johnson - D. Vassell - J. Sochan - V. Wembanyama,SAS,11,88,93.8,110.8,-17.1,77.9,1.51,19.4,29.2,75.6,51.6,0.2,47.8,51.1,104.76,41.8
A. Horford - J. Holiday - K. Porzingis - J. Tatum - D. White,BOS,12,87,120.7,107.7,13,60,2.4,19.3,20.5,68.3,46.7,0.1,57.8,62.3,100.56,56.9
G. Hayward - T. Rozier - M. Bridges - N. Richards - B. Miller,CHA,7,87,120.5,116.8,3.7,57.3,1.59,18.5,26,65.8,46.7,0.2,60.7,63.9,95.05,49.6
H. Barnes - D. Sabonis - K. Huerter - K. Murray - K. Ellis,SAC,12,87,122.5,113,9.5,71.4,2.07,22.9,32,69.2,51,0.2,63.3,65.2,97.43,54.5
T. Jones - K. Kuzma - D. Avdija - C. Kispert - B. Coulibaly,WAS,9,87,113.2,120.5,-7.3,79.5,2.38,23.6,14.8,68.7,42.1,0.1,60.3,62.6,103.37,47.7
J. Giddey - A. Wiggins - C. Holmgren - J. Williams - C. Wallace,OKC,16,86,121.2,118.3,2.9,62.9,2.55,22.8,16.7,62.5,42.9,0.1,64.9,66.4,99.84,53.6
R. Jackson - Z. Nnaji - J. Strawther - C. Braun - P. Watson,DEN,17,86,98.4,114.7,-16.3,61.4,1.95,17,26.8,60.6,44.3,0.1,49.1,51.9,102.53,43.9
D. DeRozan - N. Vucevic - T. Craig - C. White - A. Dosunmu,CHI,21,85,111.5,121.4,-9.9,64.5,3.06,19.2,25,78.7,48.5,0.1,52.1,55,103.86,42.3
J. Clarkson - L. Markkanen - J. Collins - T. Horton-Tucker - W. Kessler,UTA,8,84,101.7,123.8,-22.1,70,1.75,19.6,31.5,78.9,53.3,0.2,51.9,52.8,99.01,39.6
Z. Collins - K. Johnson - M. Branham - J. Sochan - V. Wembanyama,SAS,10,84,110.6,126.3,-15.7,71.4,1.96,21.6,25.6,78.9,51.9,0.2,56.2,59.8,102.9,45.7
B. Bogdanovic - T. Young - G. Mathews - O. Okongwu - J. Johnson,ATL,12,83,108.6,103.2,5.4,64.3,1.73,17.9,25.3,80.9,52.8,0.1,52.9,57.5,107.17,52.5
A. Horford - K. Porzingis - J. Brown - D. White - S. Hauser,BOS,30,82,114.4,94.9,19.4,57.5,1.5,18.3,19.4,71.4,51.2,0.2,62,64.5,102.81,60.2
B. Bogdanovic - D. Murray - D. Hunter - O. Okongwu - S. Bey,ATL,18,82,132.8,123,9.8,63.1,2.41,20.5,34.7,77,56.2,0.1,64.5,68.4,103.74,54.5
