Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,48,958,125.9,112.3,13.6,64.6,2.7,21.6,32,74.9,54.3,0.1,59.7,62.6,97.39,57
S. Gilgeous-Alexander - L. Dort - J. Giddey - C. Holmgren - J. Williams,OKC,63,799,119.8,109.5,10.2,63.9,2.65,21.1,21.7,69.7,47.5,0.1,58.9,61.8,103.48,55
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,45,754,112.2,111.7,0.4,66.2,2.24,20,25.6,74.4,50.5,0.1,54.1,56.9,100.16,49.9
H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,SAC,46,669,119.9,113.9,6.1,68,2.73,22.1,22,78.4,49.8,0.1,59.4,61.4,103.33,51.5
M. Conley - R. Gobert - K. Towns - A. Edwards - J. McDaniels,MIN,45,641,118.7,110.8,7.9,61.9,1.74,19.5,29,73.3,52.7,0.2,58.4,61.8,97.12,54.7
J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White,BOS,37,623,120.3,109.4,11,60.9,2.21,19.7,25,73.4,51.3,0.1,59.5,62.7,101.31,56.3
B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - M. Beasley,MIL,39,599,122,106.9,15.1,61.9,2.44,20.3,24.1,75.6,52.3,0.1,60.4,63,104.32,58.1
J. Harden - P. George - K. Leonard - I. Zubac - T. Mann,LAC,41,593,119.5,109.5,10,62.5,2.08,19.7,29.3,72.4,52.2,0.1,58.1,61.3,94.64,55.4
T. Jones - K. Kuzma - D. Gafford - J. Poole - D. Avdija,WAS,42,577,114.9,116,-1.1,64.5,2.48,20.9,22.5,68.5,46.5,0.1,56.3,58.8,104.96,49.3
K. Durant - B. Beal - J. Nurkic - D. Booker - G. Allen,PHX,35,503,124.5,113.4,11.1,66.9,2.31,22.5,26.8,75.9,52.7,0.1,62.6,64.7,100.8,54.5
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,25,444,113.6,107.2,6.4,70.2,2.64,22.1,17.6,74.6,48,0.1,57.1,59.9,102.35,54.1
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,DEN,55,444,111.1,105.3,5.8,70.7,2.39,21,26.4,78.3,51.8,0.1,54.8,57.8,104.85,52.3
D. DeRozan - N. Vucevic - A. Caruso - C. White - A. Dosunmu,CHI,30,433,105.7,108.5,-2.8,67.6,2.33,19.4,19.9,70.7,46.3,0.1,52,56.2,100.63,50.5
J. Valančiūnas - C. McCollum - B. Ingram - Z. Williamson - H. Jones,NOP,41,424,115.2,116.2,-1.1,64.7,2.1,20.5,28.2,76,52.7,0.1,57.4,59.9,102.78,50.8
D. Vassell - T. Jones - J. Champagnie - J. Sochan - V. Wembanyama,SAS,37,404,113.8,110.5,3.3,77,2.23,22.8,25.8,76.6,51.6,0.1,56.9,60,103.29,53
L. James - A. Davis - D. Russell - R. Hachimura - A. Reaves,LAL,25,389,116,110.5,5.5,69.1,2.27,22.9,21.1,75.4,51.2,0.1,61,63.1,102.6,55.6
D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,CLE,28,368,112.7,111.3,1.4,64.9,1.99,20.7,27.2,72.8,50.7,0.1,57.1,59.6,100.95,52.3
D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - S. Barnes,TOR,27,366,112.5,113.4,-0.9,69.7,2.37,21.8,25.6,75.5,51.1,0.1,56.1,58.3,100.85,51
S. Dinwiddie - D. Finney-Smith - M. Bridges - N. Claxton - C. Johnson,BKN,27,313,113.9,106.9,7,64.7,2.49,18.7,30,74.5,51.4,0.1,52.3,55.3,96.76,52.3
A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,BOS,32,311,118.5,115.8,2.7,66.5,2.69,20.3,19.5,74.2,47.7,0.1,59.5,62.7,102.01,52.5
G. Harris - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,ORL,21,300,114.7,102.1,12.5,60.6,1.76,18.9,22.6,82.2,52.3,0.1,58.3,61.4,98.3,56.5
B. Lopez - D. Lillard - J. Crowder - G. Antetokounmpo - M. Beasley,MIL,24,293,119.9,104.3,15.6,57.4,2.26,18.3,23.5,77.6,51.6,0.1,58,61.1,103.31,55.4
C. Capela - D. Murray - T. Young - S. Bey - J. Johnson,ATL,21,289,108.4,120.7,-12.4,61.4,1.63,17.3,34.4,70.9,51.3,0.2,50.3,53.7,105.92,42.8
M. Fultz - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,ORL,19,280,110.1,105.5,4.6,61.1,1.95,18.8,27.6,79.2,52.2,0.1,53.7,55.7,99.77,51.7
G. Bitadze - F. Wagner - J. Suggs - P. Banchero - A. Black,ORL,22,274,113.3,104.1,9.2,58.5,1.59,18.1,31.8,77.1,54.7,0.2,55,58.5,102.65,55.8
H. Barnes - D. Sabonis - D. Fox - K. Murray - K. Ellis,SAC,24,261,107,105.8,1.2,70.9,2,19.2,29.3,76.2,51.9,0.1,50.3,53.4,97.42,50.5
K. Dunn - L. Markkanen - J. Collins - C. Sexton - S. Fontecchio,UTA,20,256,125.9,121.6,4.3,72.2,3,23.4,30.3,76.4,53.2,0.1,60,62.8,103.45,52.4
L. James - A. Davis - D. Russell - T. Prince - A. Reaves,LAL,34,243,114.5,116.9,-2.4,68.1,2.79,20.6,25.7,72.3,49.3,0.1,55.2,59,105.12,51.6
D. Mitchell - J. Allen - M. Strus - D. Wade - I. Okoro,CLE,22,232,121.4,101.8,19.6,65.9,2.67,20.6,30.8,76.3,53.7,0.1,58.2,61.1,102.44,59.4
