Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
B. Lopez - J. Holiday - K. Middleton - B. Portis - D. DiVincenzo,MIL,11,61,103.8,97,6.8,55.8,1.71,16.5,22.4,79.7,51.5,0.1,49.6,53.9,104.86,58.8
K. Love - C. Osman - J. Allen - D. Garland - I. Okoro,CLE,3,61,109.2,109.2,0.1,75.5,2.22,21.6,24.6,75.9,48.7,0.1,54.5,57.1,102.74,50.1
T. Ariza - G. Dragic - J. Butler - B. Adebayo - D. Robinson,MIA,11,61,112.1,103.2,8.9,61.5,1.78,19.9,11.1,74.6,47.1,0.1,61.7,64.8,98.26,56.4
A. Drummond - T. Prince - C. Sexton - D. Garland - I. Okoro,CLE,6,60,92.9,128,-35.1,52.3,1.53,13.8,25.4,76.3,43.1,0.1,42,46.8,100.12,29.7
D. Green - T. Harris - J. Embiid - B. Simmons - S. Milton,PHI,13,60,109.6,112.4,-2.8,61.7,0.85,16.6,22.7,74.2,52.8,0.3,62.5,68.8,109.03,50.6
J. Hart - Z. Williamson - J. Hayes - N. Alexander-Walker - K. Lewis Jr.,NOP,10,60,113.2,86.8,26.4,72.5,1.85,19.9,32.3,74.7,56,0.2,50.9,57.5,103.91,70.1
K. Anderson - D. Brooks - J. Morant - B. Clarke - X. Tillman,MEM,6,60,105.3,114.3,-9,64.3,1.71,20.3,15.4,75,46.3,0.2,55.6,59,105.79,48.8
K. Love - C. Sexton - D. Garland - D. Wade - I. Okoro,CLE,6,60,109.6,106.2,3.4,63.6,1.75,19.8,15.4,82.8,50.9,0.1,61.9,64.3,104.74,53.4
T. Hardaway Jr. - K. Porzingis - J. Richardson - M. Kleber - L. Doncic,DAL,8,60,117.7,109.7,8.1,45.5,1.39,15.8,19.2,75.4,49.6,0.1,63.6,64.5,98.49,50.9
M. Conley - R. Gobert - J. Ingles - R. O'Neale - D. Mitchell,UTA,15,59,130.2,94.4,35.8,57.1,2.15,16.5,32.7,74.6,56.9,0.1,60.7,67.3,102.78,74
D. Howard - F. Korkmaz - S. Milton - M. Thybulle - T. Maxey,PHI,12,58,103.3,102.4,0.9,54.3,1.39,14.5,37.3,65,50.4,0.1,48.6,52.2,103.56,50.4
E. Kanter - D. Lillard - R. Covington - R. Hood - G. Trent Jr.,POR,6,58,118.3,102.5,15.8,52.9,2.45,16.3,27.5,80.7,51.6,0.1,54.7,57,98.48,55.2
L. James - M. Harrell - A. Caruso - K. Kuzma - T. Horton-Tucker,LAL,9,58,98.3,90.2,8.1,61.4,1.23,16.7,26.8,66.7,46.9,0.2,49.5,53.3,100.86,57.6
L. James - W. Matthews - M. Harrell - K. Kuzma - T. Horton-Tucker,LAL,10,58,109.7,86.2,23.5,58.2,1.45,18.6,29.6,83.6,58.3,0.2,57.2,58.9,105.89,62
P. Tucker - J. Harden - J. Wall - C. Wood - D. Nwaba,HOU,4,58,95.7,121.2,-25.5,72.5,1.45,19.1,12.1,64.9,38.3,0.2,52.2,54.3,96.28,35.3
R. Westbrook - R. Lopez - D. Bertans - B. Beal - R. Hachimura,WAS,17,58,103.8,116,-12.2,42,1.17,12,35.3,74.1,53.2,0.1,47.4,52.4,106.19,44.3
T. Thompson - K. Walker - M. Smart - J. Brown - J. Tatum,BOS,7,58,130.5,132.8,-2.3,61,2.12,21.7,26.1,73.1,51,0.1,65.4,68,98.76,46.9
C. Anthony - R. Hood - H. Giles III - A. Simons - G. Trent Jr.,POR,10,57,102.6,106.8,-4.2,45.5,1.33,14.2,10.5,72.1,42.4,0.1,55.9,57.4,99.22,44.6
H. Barnes - B. Hield - D. Fox - M. Bagley III - T. Haliburton,SAC,14,57,100.8,124.4,-23.7,46.9,1.05,13.5,24.2,69.6,45.8,0.2,53.2,56.1,111.33,38.1
J. Butler - K. Olynyk - D. Robinson - K. Nunn - K. Okpala,MIA,7,57,111.4,107.8,3.6,76.6,3.27,22.4,18.6,71.4,42.6,0.1,51.4,55.6,96.96,52.6
N. Vucevic - J. Ennis III - A. Gordon - D. Bacon - C. Anthony,ORL,6,57,113.4,90.7,22.8,51.9,1.87,17.2,27.1,83.3,54,0.1,55,57.2,99.73,60.8
R. Rubio - J. Layman - J. Vanderbilt - J. Nowell - J. McDaniels,MIN,6,57,93.4,86.2,7.3,59.1,1.24,15.9,27.9,73.5,51.9,0.2,48.5,51.2,103.18,54.4
R. Westbrook - D. Bertans - B. Beal - A. Len - R. Hachimura,WAS,12,57,103,109.3,-6.3,41.5,1.38,12.5,31.4,82.8,54.7,0.1,47.5,50.8,109.79,45.1
T. Young - Z. LaVine - L. Markkanen - C. White - P. Williams,CHI,12,57,103.1,113.9,-10.8,68,1.55,19.1,29.5,70.5,50,0.2,53.2,55.5,105.38,46.3
A. Rivers - E. Payton - J. Randle - M. Robinson - R. Barrett,NYK,9,56,88.9,106.3,-17.4,51.4,1.46,12.9,28.6,80.4,50.4,0.1,40,43.6,93.31,35.5
C. Paul - J. Crowder - D. Booker - D. Ayton - C. Johnson,PHX,12,56,114.4,104.2,10.2,49,1.56,15.4,36.4,75.9,56.6,0.1,54.7,58.4,100.94,56.8
D. Booker - C. Payne - M. Bridges - D. Ayton - C. Johnson,PHX,22,56,115.8,109.4,6.4,57.1,2.29,19.2,32,78,55,0.1,59,60.6,100.83,52.9
D. Rose - T. Gibson - A. Burks - J. Randle - I. Quickley,NYK,18,56,87.1,80,7.1,47.1,1.33,10.3,22.4,77.6,50,0.1,41.9,47.8,105.48,54.9
J. Johnson - E. Bledsoe - W. Hernangomez - L. Ball - N. Marshall,NOP,4,56,113,110.9,2,66.1,2.6,20.2,31.1,77.8,52.6,0.1,52.4,53.7,110.62,51.5
M. Plumlee - J. Grant - D. Wright - F. Jackson - S. Bey,DET,4,56,105.8,102.5,3.3,69.8,1.5,18.2,24.1,80.7,52.2,0.2,49.5,55.8,103.14,53.2
P. Beverley - P. George - M. Morris Sr. - K. Leonard - I. Zubac,LAC,8,56,123.6,102.8,20.8,58.8,1.88,19.6,28.9,79.2,56.1,0.1,64.7,66.1,92.72,59.1
T. Gibson - A. Burks - J. Randle - R. Barrett - I. Quickley,NYK,11,56,108.4,101.7,6.7,43.5,2.5,12.7,31.7,79.6,52.7,0.1,47.2,53.2,101.39,52.3
T. Young - G. Temple - N. Vucevic - C. White - P. Williams,CHI,11,56,131.9,97.4,34.5,64.4,5.43,21.3,33.8,83.9,57,0.1,58.3,60.3,100.38,62.7
C. Wood - D. House Jr. - S. Brown - K. Porter Jr. - J. Tate,HOU,4,55,104.1,121.3,-17.2,61.4,1.42,17.1,17,72.5,44.2,0.2,57.6,59.4,106.15,41.4
R. Lopez - B. Beal - R. Neto - R. Hachimura - D. Avdija,WAS,14,55,123.1,133.9,-10.8,52.5,1.94,19.1,29.2,79.5,51.7,0.1,62.6,64.4,100.92,45.6
W. Barton - A. Gordon - N. Jokic - M. Morris - M. Porter Jr.,DEN,6,55,129.8,133,-3.2,66.1,2.47,22.3,35.7,68.8,53.3,0.1,63.4,68,96.29,54.3
C. Anthony - E. Kanter - C. McCollum - N. Powell - A. Simons,POR,9,54,124.3,118.8,5.5,44.7,2.1,14.8,36.7,61.1,49.5,0.1,55.8,60.6,91.09,50.7
D. DeRozan - P. Mills - D. Murray - J. Poeltl - K. Johnson,SAS,15,54,103.4,112.5,-9.1,61.9,1.73,16.6,27.8,66.1,48.3,0.1,50,56.8,104.39,47.1
G. Hayward - C. Zeller - T. Rozier - D. Graham - P. Washington,CHA,8,54,124,110.4,13.7,80.4,3.36,23,37.3,71.7,53.6,0.1,54.9,57.5,94.18,56.3
N. Vucevic - E. Fournier - A. Gordon - M. Fultz - D. Bacon,ORL,5,54,98.4,124.8,-26.4,50,1.41,15.6,13.8,75,42.7,0.1,50.5,53.5,107.21,38.5
R. Westbrook - B. Beal - A. Len - R. Neto - R. Hachimura,WAS,7,54,129.5,111.4,18.1,65.6,3.5,23.1,33.3,75.4,55.7,0.1,57.3,61.8,109.78,57.7
A. Davis - A. Drummond - D. Schroder - K. Caldwell-Pope - K. Kuzma,LAL,4,53,114.8,110.5,4.3,56,2.55,18.7,28.3,81.6,53.9,0.1,55,56.5,95.66,54.1
E. Gordon - D. House Jr. - D. Nwaba - S. Brown - J. Tate,HOU,10,53,107.2,113.9,-6.7,56.1,2.3,15.3,26.2,64.2,43.9,0.1,48,52.9,102.57,42.7
G. Hayward - T. Rozier - M. Bridges - P. Washington - L. Ball,CHA,13,53,120.7,113.3,7.4,55.6,2.14,19.4,19.1,70.4,46.5,0.1,63.3,65.3,103.89,53.7
J. Butler - K. Olynyk - D. Robinson - K. Nunn - K. Okpala,MIA,7,57,111.4,107.8,3.6,76.6,3.27,22.4,18.6,71.4,42.6,0.1,51.4,55.6,96.96,52.6
N. Vucevic - J. Ennis III - A. Gordon - D. Bacon - C. Anthony,ORL,6,57,113.4,90.7,22.8,51.9,1.87,17.2,27.1,83.3,54,0.1,55,57.2,99.73,60.8
