Player,Team,Pos,Archetype
Joel Embiid,PHI,C,Interior Creator
LeBron James,LAL,PF,Point Forward
Giannis Antetokounmpo,MIL,PF,Interior Creator
Kevin Durant,BRK,PF,2 Way Player
Luka Dončić,DAL,PG,Lead Playmaker
Trae Young,ATL,PG,Lead Playmaker
DeMar DeRozan,CHI,PF,Playmaking forward
Kyrie Irving,BRK,PG,Combo Guard
Ja Morant,MEM,PG,Lead Playmaker
Nikola Jokić,DEN,C,Interior Creator
Jayson Tatum,BOS,SF,2 Way Player
Devin Booker,PHO,SG,Combo Guard
Donovan Mitchell,UTA,SG,Combo Guard
Stephen Curry,GSW,PG,Lead Playmaker
Karl-Anthony Towns,MIN,C,Interior Creator
Shai Gilgeous-Alexander,OKC,PG,Lead Playmaker
Zach LaVine,CHI,SG,Slasher
Paul George,LAC,PF,Point Forward
Damian Lillard,POR,PG,Lead Playmaker
Jaylen Brown,BOS,SF,2 Way Player
Bradley Beal,WAS,SG,Lead Playmaker
Anthony Davis,LAL,C,Interior Creator
De'Aaron Fox,SAC,PG,Lead Playmaker
Pascal Siakam,TOR,PF,Interior Creator
Brandon Ingram,NOP,SF,Point Forward
CJ McCollum,2TM,PG,Combo Guard
CJ McCollum,POR,SG,Combo Guard
CJ McCollum,NOP,PG,Combo Guard
James Harden,2TM,PG,Combo Guard
James Harden,BRK,PG,Combo Guard
James Harden,PHI,PG,Lead Playmaker
Darius Garland,CLE,PG,Combo Guard
Jimmy Butler,MIA,SF,2 Way Player
Anthony Edwards,MIN,SG,Combo Guard
Dejounte Murray,SAS,PG,Lead Playmaker
Tyler Herro,MIA,SG,Combo Guard
Klay Thompson,GSW,SG,Combo Guard
Fred VanVleet,TOR,PG,Lead Playmaker
Kristaps Porziņģis,2TM,PF,Interior Creator
Kristaps Porziņģis,DAL,PF,Interior Creator
Kristaps Porziņģis,WAS,PF,Interior Creator
Miles Bridges,CHO,PF,2 Way Player
LaMelo Ball,CHO,PG,Lead Playmaker
Khris Middleton,MIL,SF,Slasher
Julius Randle,NYK,PF,Point Forward
RJ Barrett,NYK,SF,Slasher
Terry Rozier,CHO,SG,Combo Guard
Jerami Grant,DET,PF,Interior Creator
Bam Adebayo,MIA,C,Interior Creator
Malcolm Brogdon,IND,PG,Lead Playmaker
Norman Powell,2TM,SF,Microwave
Norman Powell,POR,SF,Slasher
Norman Powell,LAC,SG,Microwave
Domantas Sabonis,2TM,PF,Interior Creator
Domantas Sabonis,IND,PF,Interior Creator
Domantas Sabonis,SAC,PF,Interior Creator
Jordan Poole,GSW,SG,Combo Guard
Russell Westbrook,LAL,PG,Lead Playmaker
Dillon Brooks,MEM,SF,3&D Specialist
Jrue Holiday,MIL,PG,Lead Playmaker
Gary Trent Jr.,TOR,SG,2 Way Player
Desmond Bane,MEM,SG,2 Way Player
Bojan Bogdanović,UTA,PF,Stretch Big
D'Angelo Russell,MIN,PG,Combo Guard
Christian Wood,HOU,C,Interior Creator
Jonas Valančiūnas,NOP,C,Interior Creator
Nikola Vučević,CHI,C,Interior Creator
Tyrese Maxey,PHI,PG,Combo Guard
Cade Cunningham,DET,SG,Combo Guard
Jalen Green,HOU,SG,Combo Guard
Anfernee Simons,POR,SG,Combo Guard
Deandre Ayton,PHO,C,Rim running shotblocker
Luguentz Dort,OKC,SG,Pitbull
Tobias Harris,PHI,PF,Point Forward
Andrew Wiggins,GSW,SF,2 Way Player
OG Anunoby,TOR,SF,2 Way Player
Kyle Kuzma,WAS,PF,Point Forward
Caris LeVert,2TM,SG,Secondary Playmaker
Caris LeVert,IND,SG,Secondary Playmaker
Caris LeVert,CLE,SG,Combo Guard
Keldon Johnson,SAS,SF,3&D Specialist
Reggie Jackson,LAC,SG,Combo Guard
Harrison Barnes,SAC,PF,Glue guy
Cole Anthony,ORL,PG,Combo Guard
Jalen Brunson,DAL,SG,Lead Playmaker
Jaren Jackson Jr.,MEM,PF,Stretch Big
John Collins,ATL,PF,Athletic Finisher
Jarrett Allen,CLE,C,Rim running shotblocker
Saddiq Bey,DET,SF,3&D Specialist
Jordan Clarkson,UTA,SG,Combo Guard
Collin Sexton,CLE,SG,Combo Guard
Gordon Hayward,CHO,SF,Point Forward
Buddy Hield,2TM,SG,Combo Guard
Buddy Hield,SAC,SG,Combo Guard
Buddy Hield,IND,SG,Combo Guard
Rudy Gobert,UTA,C,Rim running shotblocker
Kevin Porter Jr.,HOU,PG,Combo Guard
Marcus Morris,LAC,PF,2 Way Player
Tyrese Haliburton,2TM,PG,Lead Playmaker
Tyrese Haliburton,SAC,SG,Lead Playmaker
Tyrese Haliburton,IND,PG,Lead Playmaker
