Player,Team,Pos,Archetype
Joel Embiid,PHI,C,Interior Creator
Luka Dončić,DAL,PG,Lead Playmaker
Giannis Antetokounmpo,MIL,PF,Interior Creator
Shai Gilgeous-Alexander,OKC,PG,Lead Playmaker
Jalen Brunson,NYK,PG,Lead Playmaker
Devin Booker,PHO,PG,Lead Playmaker
Kevin Durant,PHO,PF,2 Way Player
Jayson Tatum,BOS,PF,2 Way Player
De'Aaron Fox,SAC,PG,Lead Playmaker
Donovan Mitchell,CLE,SG,Combo Guard
Stephen Curry,GSW,PG,Combo Guard
Nikola Jokić,DEN,C,Interior Creator
Anthony Edwards,MIN,SG,2 Way Player
Tyrese Maxey,PHI,PG,Combo Guard
LeBron James,LAL,PF,Point Forward
Trae Young,ATL,PG,Lead Playmaker
Kyrie Irving,DAL,SG,Combo Guard
Ja Morant,MEM,PG,Lead Playmaker
Anthony Davis,LAL,C,Interior Creator
Damian Lillard,MIL,PG,Combo Guard
DeMar DeRozan,CHI,SF,Point Forward
Julius Randle,NYK,PF,Interior Creator
LaMelo Ball,CHO,PG,Combo Guard
Desmond Bane,MEM,SG,Combo Guard
Kawhi Leonard,LAC,SF,2 Way Player
Lauri Markkanen,UTA,PF,Athletic Finisher
Jaylen Brown,BOS,SF,Slasher
Zion Williamson,NOP,PF,Interior Creator
Cade Cunningham,DET,PG,Lead Playmaker
Paolo Banchero,ORL,PF,Point Forward
Paul George,LAC,PF,Point Forward
Anfernee Simons,POR,SG,Combo Guard
Jaren Jackson Jr.,MEM,C,Interior Creator
Dejounte Murray,ATL,SG,Lead Playmaker
Cam Thomas,BRK,SG,Microwave
Kyle Kuzma,WAS,PF,Point Forward
Karl-Anthony Towns,MIN,PF,Interior Creator
Pascal Siakam,2TM,PF,Interior Creator
Pascal Siakam,TOR,PF,Interior Creator
Pascal Siakam,IND,PF,Interior Creator
Victor Wembanyama,SAS,C,Interior Creator
Jamal Murray,DEN,PG,Combo Guard
Alperen Şengün,HOU,C,Interior Creator
Miles Bridges,CHO,SF,Playmaking forward
Jerami Grant,POR,PF,Interior Creator
Jimmy Butler,MIA,PF,2 Way Player
Tyler Herro,MIA,SG,Combo Guard
Brandon Ingram,NOP,SF,Slasher
RJ Barrett,2TM,SG,Slasher
RJ Barrett,NYK,SG,Combo Guard
RJ Barrett,TOR,SG,Slasher
Tyrese Haliburton,IND,PG,Lead Playmaker
Kristaps Porziņģis,BOS,C,Rim running shotblocker
CJ McCollum,NOP,PG,Combo Guard
Scottie Barnes,TOR,SG,2 Way Player
Terry Rozier,2TM,SG,Combo Guard
Terry Rozier,CHO,SG,Combo Guard
Terry Rozier,MIA,PG,Combo Guard
Franz Wagner,ORL,SF,2 Way Player
Mikal Bridges,BRK,SF,2 Way Player
Jalen Green,HOU,SG,Combo Guard
Zach LaVine,CHI,SG,Combo Guard
Devin Vassell,SAS,SG,2 Way Player
Domantas Sabonis,SAC,C,Interior Creator
Bam Adebayo,MIA,C,Interior Creator
Coby White,CHI,PG,Combo Guard
Jalen Williams,OKC,PF,Point Forward
Collin Sexton,UTA,SG,Combo Guard
Bradley Beal,PHO,SG,Combo Guard
Darius Garland,CLE,PG,Combo Guard
D'Angelo Russell,LAL,PG,Microwave
Nikola Vučević,CHI,C,Interior Creator
Klay Thompson,GSW,SF,Shooter
Jordan Poole,WAS,SG,Combo Guard
Fred VanVleet,HOU,PG,Lead Playmaker
Brandon Miller,CHO,SF,2 Way Player
Tobias Harris,PHI,PF,Playmaking forward
Jordan Clarkson,UTA,SG,Combo Guard
Myles Turner,IND,C,Rim running shotblocker
