Player,Team,Pos,Archetype
Moussa Diabaté,LAC,C,Unclassified
Otto Porter Jr.,TOR,SF,Unclassified
Alex Fudge,2TM,SF,Unclassified
Alex Fudge,LAL,SF,Unclassified
Alex Fudge,DAL,SF,Athletic Finisher
Dylan Windler,3TM,SF,Glue guy
Dylan Windler,NYK,SF,Glue guy
Dylan Windler,LAL,SF,Glue guy
Dylan Windler,ATL,SF,Athletic Finisher
Greg Brown III,DAL,PF,Unclassified
Furkan Korkmaz,PHI,SG,Pitbull
Alex Len,SAC,C,Rim running shotblocker
Markieff Morris,DAL,PF,Unclassified
Harry Giles,2TM,C,Unclassified
Harry Giles,BRK,C,Rim running shotblocker
Harry Giles,LAL,C,Unclassified
AJ Griffin,ATL,SF,Unclassified
Mouhamadou Gueye,TOR,PF,Unclassified
Joe Harris,DET,SG,Unclassified
Cory Joseph,GSW,PG,Secondary Playmaker
Xavier Moon,LAC,SG,Unclassified
Jamaree Bouyea,2TM,PG,Unclassified
Jamaree Bouyea,POR,PG,Unclassified
Jamaree Bouyea,SAS,PG,Unclassified
Amari Bailey,CHO,PG,Unclassified
Isaiah Mobley,CLE,PF,Glue guy
Chuma Okeke,ORL,SF,Unclassified
Olivier Sarr,OKC,C,Rim running shotblocker
Dereon Seabron,NOP,SG,Switchable defender
Cole Swider,MIA,SF,Microwave
Udoka Azubuike,PHO,C,Rim running shotblocker
Reggie Bullock,HOU,SF,Switchable defender
Trent Forrest,ATL,SG,Secondary Playmaker
Nate Hinton,HOU,SG,2 Way Player
Andre Jackson Jr.,MIL,SG,Glue guy
Julian Phillips,CHI,SF,Unclassified
Ish Wainright,2TM,SF,Switchable defender
Ish Wainright,POR,SF,Switchable defender
Ish Wainright,PHO,SF,Unclassified
Colby Jones,SAC,SG,Switchable defender
Mamadi Diakite,2TM,PF,Glue guy
Mamadi Diakite,SAS,PF,Point Forward
Mamadi Diakite,NYK,PF,Switchable defender
Kobe Brown,LAC,PF,Unclassified
JD Davison,BOS,SG,Glue guy
Jordan Ford,SAC,PG,Unclassified
Kevon Harris,ORL,SG,Athletic Finisher
D'Moi Hodge,LAL,SG,Unclassified
Ty Jerome,CLE,SG,Athletic Finisher
Markquis Nowell,TOR,SG,Slasher
Jericho Sims,NYK,C,Rim running shotblocker
Lindell Wigginton,MIL,PG,Microwave
Isaiah Wong,IND,SG,Microwave
Justin Minaya,POR,SF,Unclassified
Daishen Nix,MIN,PG,Unclassified
Cody Zeller,NOP,C,Unclassified
Taj Gibson,2TM,PF,Unclassified
Taj Gibson,NYK,PF,Unclassified
Taj Gibson,DET,PF,Rim running shotblocker
P.J. Tucker,2TM,PF,Switchable defender
P.J. Tucker,PHI,PF,Switchable defender
P.J. Tucker,LAC,PF,3&D Specialist
Kessler Edwards,SAC,SF,Unclassified
Leonard Miller,MIN,SF,Point Forward
Jason Preston,UTA,PG,Secondary Playmaker
Jordan Walsh,BOS,SF,Switchable defender
Jalen Hood-Schifino,LAL,SG,Unclassified
Jett Howard,ORL,SF,Shooter
Seth Lundy,ATL,SF,Unclassified
Jordan Miller,LAC,SF,Athletic Finisher
Josh Minott,MIN,SF,2 Way Player
Jalen Pickett,DEN,SG,Secondary Playmaker
Ibou Badji,POR,C,Rim running shotblocker
Colin Castleton,LAL,C,Unclassified
Adam Flagler,OKC,SG,Unclassified
Dariq Whitehead,BRK,SF,Playmaking forward
Terry Taylor,CHI,PF,Athletic Finisher
Jack White,MEM,SF,Unclassified
Kendall Brown,IND,SG,Athletic Finisher
Mason Jones,SAC,SG,Secondary Playmaker
Jerome Robinson,GSW,SG,Unclassified
Jermaine Samuels,HOU,SF,Athletic Finisher
Jacob Toppin,NYK,SF,Glue guy
R.J. Hampton,MIA,PG,Unclassified
Nathan Mensah,CHO,C,Unclassified
Isaiah Thomas,PHO,PG,Unclassified
TyTy Washington Jr.,MIL,PG,Pitbull
Jay Huff,DEN,C,Rim running shotblocker
Keyontae Johnson,OKC,SF,Unclassified
Chris Livingston,MIL,SF,Athletic Finisher
Braxton Key,DEN,SF,Glue guy
Robin Lopez,MIL,C,Unclassified
Admiral Schofield,ORL,PF,Unclassified
Hunter Tyson,DEN,PF,Unclassified
Filip Petrušev,2TM,C,Unclassified
Filip Petrušev,PHI,C,Unclassified
Filip Petrušev,SAC,C,Unclassified
Hamidou Diallo,WAS,SG,2 Way Player
Frank Ntilikina,CHO,PG,Unclassified
Joshua Primo,LAC,SG,Unclassified
Thanasis Antetokounmpo,MIL,PF,Playmaking forward
James Johnson,IND,PF,Switchable defender
Charlie Brown Jr.,NYK,SG,Unclassified
DaQuan Jeffries,NYK,SG,Unclassified
Shaquille Harrison,MEM,SG,Switchable defender
Quenton Jackson,IND,PG,Pitbull
Wendell Moore Jr.,MIN,SG,Pitbull
Jalen Slawson,SAC,SF,Switchable defender
Pat Spencer,GSW,PG,Secondary Playmaker
Alondes Williams,MIA,SG,Unclassified
Juan Toscano-Anderson,SAC,SF,Unclassified
Usman Garuba,GSW,PF,Unclassified
E.J. Liddell,NOP,PF,Switchable defender
Pete Nance,CLE,PF,Unclassified
Maxwell Lewis,LAL,SF,Unclassified
Ryan Arcidiacono,NYK,PG,Pitbull
Malcolm Cazalon,DET,SG,Unclassified
Jalen Crutcher,NOP,PG,Unclassified
Andrew Funk,CHI,SG,Pitbull
Kaiser Gates,NOP,SF,Unclassified
Danny Green,PHI,SG,Pitbull
Ron Harper Jr.,TOR,PF,Playmaking forward
Justin Jackson,MIN,SF,Unclassified
Dmytro Skapintsev,NYK,C,Unclassified
Javonte Smart,PHI,PG,Unclassified
