Player,Team,Pos,Archetype
Stephen Curry,GSW,PG,Lead Playmaker
Bradley Beal,WAS,SG,Combo Guard
Damian Lillard,POR,PG,Lead Playmaker
Joel Embiid,PHI,C,Interior Creator
Giannis Antetokounmpo,MIL,PF,Interior Creator
Luka Dončić,DAL,PG,Lead Playmaker
Zach LaVine,CHI,SG,Slasher
Zion Williamson,NOP,PF,Interior Creator
Kyrie Irving,BRK,PG,Combo Guard
Kevin Durant,BRK,PF,2 Way Player
Jayson Tatum,BOS,SF,2 Way Player
Nikola Jokić,DEN,C,Interior Creator
Donovan Mitchell,UTA,PG,Lead Playmaker
Devin Booker,PHO,SG,Combo Guard
Trae Young,ATL,PG,Lead Playmaker
De'Aaron Fox,SAC,PG,Lead Playmaker
LeBron James,LAL,PG,Lead Playmaker
James Harden,HOU,PG,Lead Playmaker
Kawhi Leonard,LAC,SF,2 Way Player
Karl-Anthony Towns,MIN,C,Interior Creator
Jaylen Brown,BOS,SG,2 Way Player
James Harden,2TM,PG,Lead Playmaker
James Harden,BRK,PG,Lead Playmaker
Nikola Vučević,ORL,C,Interior Creator
Collin Sexton,CLE,SG,Combo Guard
Julius Randle,NYK,PF,Interior Creator
Brandon Ingram,NOP,SF,Slasher
Shai Gilgeous-Alexander,OKC,SG,2 Way Player
Nikola Vučević,2TM,C,Interior Creator
Paul George,LAC,SF,2 Way Player
CJ McCollum,POR,SG,Combo Guard
Jerami Grant,DET,SF,Slasher
Russell Westbrook,WAS,PG,Lead Playmaker
Anthony Davis,LAL,PF,Interior Creator
DeMar DeRozan,SAS,PF,Playmaking forward
Nikola Vučević,CHI,C,Interior Creator
Jimmy Butler,MIA,SF,2 Way Player
Pascal Siakam,TOR,PF,Point Forward
Jamal Murray,DEN,PG,Combo Guard
Victor Oladipo,HOU,SG,Combo Guard
Malcolm Brogdon,IND,PG,Combo Guard
Christian Wood,HOU,C,Rim running shotblocker
Caris LeVert,IND,SG,Secondary Playmaker
John Wall,HOU,PG,Lead Playmaker
Terry Rozier,CHO,SG,Combo Guard
Khris Middleton,MIL,SF,Point Forward
Domantas Sabonis,IND,PF,Interior Creator
Caris LeVert,2TM,SG,Secondary Playmaker
Kristaps Porziņģis,DAL,C,Stretch Big
Victor Oladipo,IND,SG,Combo Guard
Victor Oladipo,3TM,SG,Combo Guard
Evan Fournier,ORL,SF,Secondary Playmaker
Gordon Hayward,CHO,SF,Slasher
Malik Beasley,MIN,SG,Shooter
Fred VanVleet,TOR,SG,Lead Playmaker
Norman Powell,TOR,SG,Combo Guard
Tobias Harris,PHI,PF,Point Forward
Kemba Walker,BOS,PG,Lead Playmaker
Anthony Edwards,MIN,SG,Combo Guard
Ja Morant,MEM,PG,Lead Playmaker
Michael Porter Jr.,DEN,SF,Microwave
Kelly Olynyk,HOU,PF,Interior Creator
D'Angelo Russell,MIN,PG,Combo Guard
Bam Adebayo,MIA,C,Interior Creator
Norman Powell,2TM,SG,Combo Guard
Andrew Wiggins,GSW,PF,2 Way Player
Caris LeVert,BRK,SG,Lead Playmaker
Jordan Clarkson,UTA,SG,Combo Guard
Eric Gordon,HOU,SG,Combo Guard
Jrue Holiday,MIL,PG,Lead Playmaker
John Collins,ATL,PF,Athletic Finisher
RJ Barrett,NYK,SG,Slasher
Andre Drummond,CLE,C,Interior Creator
Darius Garland,CLE,PG,Combo Guard
Dillon Brooks,MEM,SF,3&D Specialist
Kyle Lowry,TOR,PG,Lead Playmaker
Evan Fournier,2TM,SF,Point Forward
Jonas Valančiūnas,MEM,C,Interior Creator
Norman Powell,POR,SF,Slasher
Bojan Bogdanović,UTA,SF,3&D Specialist
Tim Hardaway Jr.,DAL,SG,Combo Guard
Kevin Porter Jr.,HOU,SG,Combo Guard
Buddy Hield,SAC,SG,Shooter
Bogdan Bogdanović,ATL,SG,Shooter
Khyri Thomas,HOU,SG,Athletic Finisher
Chris Paul,PHO,PG,Lead Playmaker
Gary Trent Jr.,TOR,SG,Combo Guard
Mike Conley,UTA,PG,Lead Playmaker
Harrison Barnes,SAC,PF,Glue guy
Elijah Bryant,MIL,SG,Athletic Finisher
OG Anunoby,TOR,SF,2 Way Player
LaMelo Ball,CHO,PG,Lead Playmaker
Dejounte Murray,SAS,PG,Lead Playmaker
Terrence Ross,ORL,SG,Combo Guard
T.J. Warren,IND,SF,Athletic Finisher
Kelly Oubre Jr.,GSW,SF,Athletic Finisher
Dennis Schröder,LAL,SG,Secondary Playmaker
Derrick White,SAS,SG,Secondary Playmaker
Gary Trent Jr.,2TM,SG,Shooter
Clint Capela,ATL,C,Rim running shotblocker
Coby White,CHI,PG,Combo Guard
Tyler Herro,MIA,SG,Combo Guard
De'Andre Hunter,ATL,SF,2 Way Player
Gary Trent Jr.,POR,SG,Shooter
Andre Drummond,2TM,C,Interior Creator
Derrick Rose,NYK,PG,Lead Playmaker
Devonte' Graham,CHO,PG,Lead Playmaker
Derrick Rose,2TM,PG,Lead Playmaker
Kendrick Nunn,MIA,PG,Combo Guard
Lonzo Ball,NOP,PG,Lead Playmaker
Aaron Gordon,ORL,PF,Point Forward
Jaren Jackson Jr.,MEM,C,Rim running shotblocker
Deandre Ayton,PHO,C,Rim running shotblocker
Ben Simmons,PHI,PG,Lead Playmaker
Rudy Gobert,UTA,C,Rim running shotblocker
Thomas Bryant,WAS,C,Rim running shotblocker
Derrick Rose,DET,PG,Microwave
Al Horford,OKC,C,Stretch Big
Richaun Holmes,SAC,C,Rim running shotblocker
Joe Harris,BRK,SF,Shooter
Marvin Bagley III,SAC,PF,Athletic Finisher
Luguentz Dort,OKC,SG,Combo Guard
Rui Hachimura,WAS,PF,Stretch Big
Darius Bazley,OKC,PF,Athletic Finisher
LaMarcus Aldridge,SAS,C,Interior Creator
Lauri Markkanen,CHI,PF,Stretch Big
Doug McDermott,IND,PF,Athletic Finisher
Chris Boucher,TOR,C,Rim running shotblocker
Kelly Olynyk,2TM,PF,Point Forward
LaMarcus Aldridge,2TM,C,Interior Creator
Montrezl Harrell,LAL,C,Rim running shotblocker
Mikal Bridges,PHO,SF,3&D Specialist
Josh Jackson,DET,SG,Combo Guard
Marcus Morris,LAC,PF,Stretch Big
Goran Dragić,MIA,PG,Combo Guard
Carmelo Anthony,POR,PF,Microwave
Danilo Gallinari,ATL,PF,Stretch Big
Jarrett Allen,CLE,C,Rim running shotblocker
Marcus Smart,BOS,PG,Pitbull
Duncan Robinson,MIA,SF,Shooter
Evan Fournier,BOS,SF,2 Way Player
Shake Milton,PHI,SG,Slasher
Tyrese Haliburton,SAC,PG,Pitbull
P.J. Washington,CHO,PF,Switchable defender
Kyle Kuzma,LAL,SF,3&D Specialist
Cole Anthony,ORL,PG,Combo Guard
Markelle Fultz,ORL,PG,Lead Playmaker
Jarrett Allen,2TM,C,Rim running shotblocker
LaMarcus Aldridge,BRK,C,Interior Creator
Keldon Johnson,SAS,SF,Slasher
Miles Bridges,CHO,PF,Rim running shotblocker
Will Barton,DEN,SF,Point Forward
Alec Burks,NYK,SG,2 Way Player
Jalen Brunson,DAL,PG,Lead Playmaker
Myles Turner,IND,C,Rim running shotblocker
Seth Curry,PHI,SG,Secondary Playmaker
Aaron Gordon,2TM,PF,Point Forward
Kyle Anderson,MEM,PF,Point Forward
