Player,Team,Pos,Archetype
Shai Gilgeous-Alexander,OKC,PG,Lead Playmaker
Giannis Antetokounmpo,MIL,PF,Interior Creator
Nikola Jokić,DEN,C,Interior Creator
Luka Dončić,2TM,PG,Lead Playmaker
Luka Dončić,DAL,PG,Lead Playmaker
Luka Dončić,LAL,PG,Lead Playmaker
Anthony Edwards,MIN,SG,2 Way Player
Jayson Tatum,BOS,PF,2 Way Player
Kevin Durant,PHO,PF,2 Way Player
Tyrese Maxey,PHI,PG,Combo Guard
Cade Cunningham,DET,PG,Lead Playmaker
Jalen Brunson,NYK,PG,Lead Playmaker
Paolo Banchero,ORL,PF,Point Forward
Devin Booker,PHO,SG,Lead Playmaker
LaMelo Ball,CHO,PG,Combo Guard
Damian Lillard,MIL,PG,Combo Guard
Anthony Davis,2TM,C,Interior Creator
Anthony Davis,LAL,C,Interior Creator
Anthony Davis,DAL,PF,Point Forward
Kyrie Irving,DAL,SG,Combo Guard
Zion Williamson,NOP,PF,Interior Creator
Stephen Curry,GSW,PG,Combo Guard
LeBron James,LAL,SF,Point Forward
Karl-Anthony Towns,NYK,C,Interior Creator
Victor Wembanyama,SAS,C,Interior Creator
Franz Wagner,ORL,SF,2 Way Player
Trae Young,ATL,PG,Lead Playmaker
Donovan Mitchell,CLE,SG,Lead Playmaker
Cam Thomas,BRK,SG,Microwave
Tyler Herro,MIA,SG,Combo Guard
Joel Embiid,PHI,C,Interior Creator
De'Aaron Fox,2TM,PG,Lead Playmaker
De'Aaron Fox,SAC,PG,Lead Playmaker
De'Aaron Fox,SAS,PG,Lead Playmaker
Zach LaVine,2TM,SG,Combo Guard
Zach LaVine,CHI,SF,Slasher
Zach LaVine,SAC,SG,Combo Guard
Ja Morant,MEM,PG,Lead Playmaker
James Harden,LAC,PG,Lead Playmaker
Jaylen Brown,BOS,SF,2 Way Player
DeMar DeRozan,SAC,SF,Point Forward
Brandon Ingram,NOP,SF,Point Forward
Jaren Jackson Jr.,MEM,C,Stretch Big
Norman Powell,LAC,SG,Microwave
Jalen Williams,OKC,SG,2 Way Player
Kawhi Leonard,LAC,SF,2 Way Player
Jamal Murray,DEN,PG,Combo Guard
Trey Murphy III,NOP,SF,2 Way Player
RJ Barrett,TOR,SF,Slasher
CJ McCollum,NOP,PG,Combo Guard
Jalen Green,HOU,SG,Combo Guard
Brandon Miller,CHO,SF,Point Forward
Darius Garland,CLE,PG,Combo Guard
Jordan Poole,WAS,SG,Combo Guard
Coby White,CHI,SG,Combo Guard
Miles Bridges,CHO,PF,Point Forward
Austin Reaves,LAL,SG,Combo Guard
Pascal Siakam,IND,PF,Athletic Finisher
Kristaps Porziņģis,BOS,C,Stretch Big
Scottie Barnes,TOR,PF,Point Forward
Anfernee Simons,POR,SG,Microwave
Desmond Bane,MEM,SG,2 Way Player
Domantas Sabonis,SAC,C,Interior Creator
Alperen Şengün,HOU,C,Interior Creator
John Collins,UTA,PF,Athletic Finisher
Lauri Markkanen,UTA,PF,Stretch Big
Jalen Johnson,ATL,SF,2 Way Player
Cameron Johnson,BRK,PF,3&D Specialist
Julius Randle,MIN,PF,Interior Creator
Tyrese Haliburton,IND,PG,Lead Playmaker
Evan Mobley,CLE,PF,Interior Creator
Shaedon Sharpe,POR,SG,Combo Guard
Nikola Vučević,CHI,C,Interior Creator
Collin Sexton,UTA,SG,Lead Playmaker
Michael Porter Jr.,DEN,SF,Microwave
Bam Adebayo,MIA,C,Interior Creator
Andrew Wiggins,2TM,SF,Slasher
Andrew Wiggins,GSW,SF,Slasher
Andrew Wiggins,MIA,SF,Slasher
OG Anunoby,NYK,PF,2 Way Player
Mikal Bridges,NYK,SF,2 Way Player
Jaden Ivey,DET,SG,Combo Guard
Jimmy Butler,2TM,SF,2 Way Player
Jimmy Butler,MIA,PF,Playmaking forward
Jimmy Butler,GSW,SF,2 Way Player
Dejounte Murray,NOP,PG,Combo Guard
Malik Monk,SAC,SG,Combo Guard
Immanuel Quickley,TOR,PG,Lead Playmaker
De'Andre Hunter,2TM,SF,3&D Specialist
De'Andre Hunter,ATL,SF,3&D Specialist
De'Andre Hunter,CLE,SF,2 Way Player
Bradley Beal,PHO,SG,Athletic Finisher
Deni Avdija,POR,SF,2 Way Player
Keyonte George,UTA,PG,Combo Guard
Ivica Zubac,LAC,C,Rim running shotblocker
Derrick White,BOS,SG,Secondary Playmaker
Malik Beasley,DET,SG,Combo Guard
Devin Vassell,SAS,SG,Combo Guard
Jordan Clarkson,UTA,SG,Combo Guard
Paul George,PHI,PF,Point Forward
Jalen Suggs,ORL,PG,Combo Guard
Bennedict Mathurin,IND,SF,Slasher
Myles Turner,IND,C,Rim running shotblocker
Christian Braun,DEN,SG,Slasher
Jonathan Kuminga,GSW,PF,Interior Creator
Jared McCain,PHI,SG,Combo Guard
Mark Williams,CHO,C,Interior Creator
Kelly Oubre Jr.,PHI,SF,Athletic Finisher
Chet Holmgren,OKC,C,Stretch Big
Kyle Kuzma,2TM,PF,Playmaking forward
Kyle Kuzma,WAS,PF,Playmaking forward
Kyle Kuzma,MIL,PF,Playmaking forward
Stephon Castle,SAS,PG,Combo Guard
Aaron Gordon,DEN,PF,Athletic Finisher
P.J. Washington,DAL,PF,2 Way Player
Quentin Grimes,2TM,SG,Combo Guard
Quentin Grimes,DAL,SG,Shooter
Quentin Grimes,PHI,SG,Combo Guard
Josh Giddey,CHI,PG,Lead Playmaker
Jakob Poeltl,TOR,C,Rim running shotblocker
Deandre Ayton,POR,C,Rim running shotblocker
Gradey Dick,TOR,SG,Combo Guard
Jerami Grant,POR,PF,Stretch Big
Payton Pritchard,BOS,PG,Combo Guard
Naz Reid,MIN,C,Stretch Big
Dyson Daniels,ATL,SG,Switchable defender
Tre Mann,CHO,PG,Microwave
Amen Thompson,HOU,SF,2 Way Player
Fred VanVleet,HOU,PG,Pitbull
Dillon Brooks,HOU,SF,3&D Specialist
Tolu Smith,DET,PF,Athletic Finisher
Klay Thompson,DAL,SF,Shooter
Bobby Portis,MIL,PF,Stretch Big
Tobias Harris,DET,PF,Switchable defender
Josh Hart,NYK,SG,Secondary Playmaker
Jarrett Allen,CLE,C,Rim running shotblocker
Onyeka Okongwu,ATL,C,Rim running shotblocker
Russell Westbrook,DEN,PG,Combo Guard
Naji Marshall,DAL,SF,Playmaking forward
