Player,Team,Pos,Archetype
Jeff Dowtin Jr.,TOR,PG,Pitbull
Theo Pinson,DAL,SG,Secondary Playmaker
Neemias Queta,SAC,C,Rim running shotblocker
Trent Forrest,ATL,SG,Secondary Playmaker
Scotty Pippen Jr.,LAL,PG,Unclassified
Justin Champagnie,2TM,SF,Playmaking forward
Justin Champagnie,TOR,SF,Glue guy
Justin Champagnie,BOS,SF,Playmaking forward
Khem Birch,TOR,C,Rim running shotblocker
Kennedy Chandler,MEM,PG,Pitbull
Ron Harper Jr.,TOR,PF,Glue guy
Dalen Terry,CHI,SG,Switchable defender
Nerlens Noel,2TM,C,Rim running shotblocker
Nerlens Noel,DET,C,Rim running shotblocker
Nerlens Noel,BRK,C,Rim running shotblocker
Davon Reed,2TM,SG,Unclassified
Davon Reed,DEN,SG,Unclassified
Davon Reed,LAL,SG,Glue guy
Andre Iguodala,GSW,PF,Playmaking forward
Chris Silva,DAL,PF,Athletic Finisher
Garrett Temple,NOP,SG,Glue guy
Stanley Umude,DET,SG,Switchable defender
Donovan Williams,ATL,SG,Microwave
Vince Williams Jr.,MEM,SG,Pitbull
Ryan Rollins,GSW,PG,Unclassified
Greg Brown III,POR,PF,Unclassified
Trevor Hudgins,HOU,PG,Secondary Playmaker
Alize Johnson,SAS,PF,Athletic Finisher
Xavier Moon,LAC,SG,Unclassified
Alex Len,SAC,C,Rim running shotblocker
Dylan Windler,CLE,SF,Playmaking forward
Buddy Boeheim,DET,SF,Unclassified
Tony Bradley,CHI,C,Unclassified
JD Davison,BOS,SG,Secondary Playmaker
Kendall Brown,IND,SG,Pitbull
Matthew Dellavedova,SAC,PG,Secondary Playmaker
Keon Ellis,SAC,SG,Glue guy
Mfiondu Kabengele,BOS,PF,Unclassified
Jordan Schakel,WAS,SF,Glue guy
Isaiah Todd,WAS,PF,Unclassified
Thanasis Antetokounmpo,MIL,PF,Unclassified
PJ Dozier,SAC,SF,Playmaking forward
Wendell Moore Jr.,MIN,SG,Pitbull
Ryan Arcidiacono,2TM,PG,Secondary Playmaker
Ryan Arcidiacono,NYK,PG,Pitbull
Ryan Arcidiacono,POR,PG,Secondary Playmaker
Facundo Campazzo,DAL,PG,Pitbull
Braxton Key,DET,SF,Switchable defender
Tyrese Martin,ATL,SG,Unclassified
KZ Okpala,SAC,PF,Switchable defender
Cole Swider,LAL,SF,Glue guy
Vit Krejci,ATL,PG,Unclassified
Jack White,DEN,SF,Switchable defender
Noah Vonleh,BOS,C,Unclassified
Malcolm Hill,CHI,SF,2 Way Player
Trevor Keels,NYK,SG,Unclassified
Chima Moneke,SAC,SF,Playmaking forward
Kobi Simmons,CHO,SG,Secondary Playmaker
Joe Wieskamp,TOR,SF,Unclassified
Justin Jackson,BOS,SF,Switchable defender
Marko Simonovic,CHI,C,Unclassified
Dereon Seabron,NOP,SG,Unclassified
Vernon Carey Jr.,WAS,C,Unclassified
Devon Dotson,WAS,PG,Pitbull
Leandro Bolmaro,UTA,SF,Unclassified
Sterling Brown,LAL,SF,Switchable defender
Deonte Burton,SAC,PF,Unclassified
Michael Foster Jr.,PHI,PF,Unclassified
Frank Jackson,UTA,PG,Unclassified
Alondes Williams,BRK,SG,Unclassified
