Player,Team,Pos,Archetype
Tre Jones,SAS,PG,Lead Playmaker
Alec Burks,DET,SG,Combo Guard
Jabari Smith Jr.,HOU,PF,Stretch Big
Malik Beasley,2TM,SG,Combo Guard
Malik Beasley,UTA,SG,Combo Guard
Malik Beasley,LAL,SG,Shooter
KJ Martin,HOU,SF,Athletic Finisher
Nic Claxton,BRK,C,Rim running shotblocker
Dennis Schröder,LAL,PG,Lead Playmaker
Jakob Poeltl,2TM,C,Rim running shotblocker
Jakob Poeltl,SAS,C,Rim running shotblocker
Jakob Poeltl,TOR,C,Rim running shotblocker
Mac McClung,PHI,SG,Combo Guard
Kelly Olynyk,UTA,C,Stretch Big
Eric Gordon,2TM,SG,Slasher
Eric Gordon,HOU,SG,Slasher
Eric Gordon,LAC,SG,Glue guy
Derrick White,BOS,SG,2 Way Player
Keegan Murray,SAC,SF,Shooter
Caris LeVert,CLE,SG,2 Way Player
Jaden McDaniels,MIN,SF,Switchable defender
Marvin Bagley III,DET,C,Rim running shotblocker
Clint Capela,ATL,C,Rim running shotblocker
Mike Conley,2TM,PG,Secondary Playmaker
Mike Conley,UTA,PG,Secondary Playmaker
Mike Conley,MIN,PG,Secondary Playmaker
Bones Hyland,2TM,PG,Combo Guard
Bones Hyland,DEN,PG,Combo Guard
Bones Hyland,LAC,PG,Lead Playmaker
Lonnie Walker IV,LAL,SG,Combo Guard
Zach Collins,SAS,C,Rim running shotblocker
Bruce Brown,DEN,SF,Switchable defender
Naz Reid,MIN,C,Rim running shotblocker
Marcus Smart,BOS,PG,Pitbull
Max Strus,MIA,SF,Shooter
John Wall,LAC,PG,Microwave
Quentin Grimes,NYK,SG,3&D Specialist
Isaiah Stewart,DET,C,Unclassified
Rui Hachimura,2TM,PF,Stretch Big
Rui Hachimura,WAS,PF,Stretch Big
Rui Hachimura,LAL,PF,Stretch Big
Kyle Lowry,MIA,PG,Pitbull
Marcus Morris,LAC,PF,2 Way Player
Corey Kispert,WAS,SF,Shooter
Jeremy Sochan,SAS,PF,Playmaking forward
Mason Plumlee,2TM,C,Rim running shotblocker
Mason Plumlee,CHO,C,Rim running shotblocker
Mason Plumlee,LAC,C,Rim running shotblocker
Kentavious Caldwell-Pope,DEN,SG,3&D Specialist
Jaylen Nowell,MIN,SG,Combo Guard
Ivica Zubac,LAC,C,Rim running shotblocker
Talen Horton-Tucker,UTA,SG,Slasher
Victor Oladipo,MIA,SG,Combo Guard
Cam Thomas,BRK,SG,Slasher
Jeenathan Williams,POR,SG,Glue guy
Moritz Wagner,ORL,C,Stretch Big
Grayson Allen,MIL,SG,3&D Specialist
Killian Hayes,DET,PG,Lead Playmaker
Tyus Jones,MEM,PG,Pitbull
Monte Morris,WAS,PG,Secondary Playmaker
Cameron Payne,PHO,PG,Lead Playmaker
Reggie Jackson,2TM,PG,Combo Guard
Reggie Jackson,LAC,PG,Combo Guard
Reggie Jackson,DEN,PG,Lead Playmaker
Malaki Branham,SAS,SG,Unclassified
Doug McDermott,SAS,SF,Shooter
Patrick Williams,CHI,PF,3&D Specialist
Josh Richardson,2TM,SG,Shooter
Josh Richardson,SAS,SG,Microwave
Josh Richardson,NOP,SG,3&D Specialist
De'Anthony Melton,PHI,SG,Switchable defender
Aaron Nesmith,IND,SF,3&D Specialist
James Wiseman,2TM,C,Rim running shotblocker
James Wiseman,GSW,C,Rim running shotblocker
James Wiseman,DET,C,Unclassified
Brandon Clarke,MEM,PF,Rim running shotblocker
Jonathan Kuminga,GSW,PF,Athletic Finisher
Onyeka Okongwu,ATL,C,Rim running shotblocker
Luka Šamanić,UTA,PF,Stretch Big
Shaedon Sharpe,POR,SG,Combo Guard
Jalen Suggs,ORL,SG,Switchable defender
Thomas Bryant,2TM,C,Rim running shotblocker
Thomas Bryant,LAL,C,Rim running shotblocker
Thomas Bryant,DEN,C,Unclassified
Josh Hart,2TM,SF,Secondary Playmaker
Josh Hart,POR,SF,Secondary Playmaker
Josh Hart,NYK,SF,Secondary Playmaker
Al Horford,BOS,C,Stretch Big
Herbert Jones,NOP,PF,Switchable defender
Julian Champagnie,2TM,SF,Shooter
Julian Champagnie,PHI,SF,Unclassified
Julian Champagnie,SAS,SF,Shooter
Cam Reddish,2TM,SF,Unclassified
Cam Reddish,NYK,SF,Unclassified
Cam Reddish,POR,SF,Unclassified
Keita Bates-Diop,SAS,PF,Glue guy
Coby White,CHI,SG,2 Way Player
Caleb Martin,MIA,SF,Switchable defender
Isaiah Joe,OKC,SG,Shooter
Andrew Nembhard,IND,SG,Secondary Playmaker
Jalen McDaniels,2TM,SF,Switchable defender
Jalen McDaniels,CHO,SF,Switchable defender
Jalen McDaniels,PHI,SF,Unclassified
Kyle Anderson,MIN,PF,Switchable defender
Chris Boucher,TOR,PF,Rim running shotblocker
Donte DiVincenzo,GSW,SG,Secondary Playmaker
Jalen Smith,IND,C,Rim running shotblocker
Gabe Vincent,MIA,PG,Pitbull
Luke Kennard,2TM,SG,Shooter
Luke Kennard,LAC,SG,Shooter
Luke Kennard,MEM,SG,Glue guy
Hamidou Diallo,DET,SF,Athletic Finisher
Tari Eason,HOU,PF,Switchable defender
Precious Achiuwa,TOR,C,Unclassified
Deni Avdija,WAS,SF,Switchable defender
Seth Curry,BRK,SG,3&D Specialist
Walker Kessler,UTA,C,Rim running shotblocker
Bol Bol,ORL,PF,Athletic Finisher
Jalen Duren,DET,C,Rim running shotblocker
Josh Green,DAL,SG,Unclassified
Naji Marshall,NOP,SF,Slasher
Taurean Prince,MIN,PF,Stretch Big
Jae'Sean Tate,HOU,SF,Playmaking forward
Santi Aldama,MEM,PF,Switchable defender
Jose Alvarado,NOP,PG,Pitbull
Daniel Gafford,WAS,C,Rim running shotblocker
Mark Williams,CHO,C,Rim running shotblocker
AJ Griffin,ATL,SF,3&D Specialist
Jaden Hardy,DAL,SG,Microwave
Shaquille Harrison,POR,SG,Pitbull
Terance Mann,LAC,SG,Secondary Playmaker
Royce O'Neale,BRK,SF,Shooter
Dennis Smith Jr.,CHO,PG,Pitbull
Jordan Nwora,2TM,SF,Unclassified
Jordan Nwora,MIL,SF,Unclassified
Jordan Nwora,IND,SF,Microwave
T.J. McConnell,IND,PG,Lead Playmaker
Cedi Osman,CLE,SF,2 Way Player
Landry Shamet,PHO,SG,Shooter
Steven Adams,MEM,C,Rim running shotblocker
Ayo Dosunmu,CHI,SG,Secondary Playmaker
Draymond Green,GSW,PF,Rim running shotblocker
Shake Milton,PHI,SG,Lead Playmaker
Dorian Finney-Smith,2TM,PF,Stretch Big
Dorian Finney-Smith,DAL,PF,Stretch Big
Dorian Finney-Smith,BRK,PF,Stretch Big
Terrence Ross,2TM,SG,Shooter
Terrence Ross,ORL,SG,Shooter
Terrence Ross,PHO,SG,2 Way Player
Gary Harris,ORL,SG,3&D Specialist
Kevin Love,2TM,PF,Playmaking forward
Kevin Love,CLE,PF,Stretch Big
Kevin Love,MIA,PF,Playmaking forward
Damion Lee,PHO,SG,Unclassified
Georges Niang,PHI,PF,Stretch Big
Nick Richards,CHO,C,Rim running shotblocker
Aleksej Pokusevski,OKC,PF,Switchable defender
Grant Williams,BOS,PF,Switchable defender
Jevon Carter,MIL,PG,Pitbull
Kemba Walker,DAL,PG,Lead Playmaker
Kenrich Williams,OKC,PF,Glue guy
Robert Williams,BOS,C,Rim running shotblocker
Gabe York,IND,SG,Shooter
Jarred Vanderbilt,2TM,PF,Glue guy
Jarred Vanderbilt,UTA,PF,Playmaking forward
Jarred Vanderbilt,LAL,PF,Athletic Finisher
Ochai Agbaji,UTA,SG,Shooter
Chris Duarte,IND,SF,Shooter
Duane Washington Jr.,PHO,SG,Unclassified
Jeff Green,DEN,PF,Athletic Finisher
Tre Mann,OKC,PG,Microwave
Pat Connaughton,MIL,SF,Shooter
Joe Harris,BRK,SF,Shooter
Trey Lyles,SAC,PF,Rim running shotblocker
T.J. Warren,2TM,PF,Unclassified
T.J. Warren,BRK,PF,Athletic Finisher
T.J. Warren,PHO,SF,Switchable defender
Devonte' Graham,2TM,PG,Secondary Playmaker
Devonte' Graham,NOP,PG,Pitbull
Devonte' Graham,SAS,PG,Lead Playmaker
Torrey Craig,PHO,PF,Switchable defender
Mitchell Robinson,NYK,C,Rim running shotblocker
Obi Toppin,NYK,PF,Stretch Big
Trendon Watford,POR,PF,Playmaking forward
Delon Wright,WAS,PG,Secondary Playmaker
Jay Huff,WAS,C,Rim running shotblocker
Josh Okogie,PHO,SG,Pitbull
Reggie Bullock,DAL,SF,Shooter
Isaiah Jackson,IND,C,Rim running shotblocker
Kendrick Nunn,2TM,SG,Microwave
Kendrick Nunn,LAL,SG,Microwave
Kendrick Nunn,WAS,SG,Microwave
Troy Brown Jr.,LAL,SF,3&D Specialist
Edmond Sumner,BRK,SG,Slasher
